startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2017-09-01T00:00:00Z","2017-09-01T00:30:00Z",7.020,6.371,7.619,0.134,138,0.242,0.031,1
"2017-09-01T00:30:00Z","2017-09-01T01:00:00Z",6.582,5.824,7.569,0.223,119,0.240,0.043,1
"2017-09-01T01:00:00Z","2017-09-01T01:30:00Z",4.518,3.099,5.816,0.638,180,0.208,0.060,0
"2017-09-01T01:30:00Z","2017-09-01T02:00:00Z",1.629,0.199,3.084,0.711,180,0.168,0.063,0
"2017-09-01T02:00:00Z","2017-09-01T02:30:00Z",-0.888,-1.692,0.192,0.296,180,0.129,0.041,0
"2017-09-01T02:30:00Z","2017-09-01T03:00:00Z",-2.129,-2.413,-1.699,0.041,180,0.119,0.015,0
"2017-09-01T03:00:00Z","2017-09-01T03:30:00Z",-2.512,-2.584,-2.402,0.003,180,0.122,0.004,0
"2017-09-01T03:30:00Z","2017-09-01T04:00:00Z",-2.177,-2.613,-1.156,0.307,77,0.172,0.063,1
"2017-09-01T04:00:00Z","2017-09-01T04:30:00Z",-2.664,-3.437,-1.770,0.220,180,0.142,0.035,0
"2017-09-01T04:30:00Z","2017-09-01T05:00:00Z",-4.266,-5.141,-3.434,0.246,180,0.175,0.037,0
"2017-09-01T05:00:00Z","2017-09-01T05:30:00Z",-5.881,-6.439,-5.137,0.149,180,0.207,0.029,0
"2017-09-01T05:30:00Z","2017-09-01T06:00:00Z",-6.671,-6.755,-6.443,0.008,180,0.221,0.007,0
"2017-09-01T06:00:00Z","2017-09-01T06:30:00Z",-6.569,-6.726,-6.382,0.011,180,0.218,0.008,0
"2017-09-01T06:30:00Z","2017-09-01T07:00:00Z",-6.390,-6.583,-6.317,0.005,138,0.213,0.006,1
"2017-09-01T07:00:00Z","2017-09-01T07:30:00Z",-6.534,-7.273,-5.495,0.250,119,0.232,0.046,1
"2017-09-01T07:30:00Z","2017-09-01T08:00:00Z",-8.026,-8.621,-7.286,0.150,180,0.261,0.029,0
"2017-09-01T08:00:00Z","2017-09-01T08:30:00Z",-8.976,-9.237,-8.615,0.032,180,0.283,0.013,0
"2017-09-01T08:30:00Z","2017-09-01T09:00:00Z",-9.350,-9.433,-9.234,0.003,180,0.293,0.004,0
"2017-09-01T09:00:00Z","2017-09-01T09:30:00Z",-9.374,-9.446,-9.171,0.005,180,0.293,0.005,0
"2017-09-01T09:30:00Z","2017-09-01T10:00:00Z",-8.730,-9.178,-8.193,0.084,180,0.278,0.022,0
"2017-09-01T10:00:00Z","2017-09-01T10:30:00Z",-7.343,-8.173,-6.048,0.774,77,0.309,0.100,1
"2017-09-01T10:30:00Z","2017-09-01T11:00:00Z",-6.520,-6.613,-6.358,0.003,180,0.213,0.004,0
"2017-09-01T11:00:00Z","2017-09-01T11:30:00Z",-6.721,-6.851,-6.606,0.005,180,0.219,0.005,0
"2017-09-01T11:30:00Z","2017-09-01T12:00:00Z",-7.000,-7.151,-6.844,0.007,180,0.226,0.006,0
"2017-09-01T12:00:00Z","2017-09-01T12:30:00Z",-7.231,-7.334,-7.132,0.003,180,0.233,0.004,0
"2017-09-01T12:30:00Z","2017-09-01T13:00:00Z",-7.520,-7.729,-7.321,0.015,180,0.241,0.009,0
"2017-09-01T13:00:00Z","2017-09-01T13:30:00Z",-7.801,-7.857,-7.716,0.001,138,0.249,0.003,1
"2017-09-01T13:30:00Z","2017-09-01T14:00:00Z",-6.982,-7.098,-6.585,0.017,119,0.227,0.012,1
"2017-09-01T14:00:00Z","2017-09-01T14:30:00Z",-5.824,-6.951,-4.475,0.562,180,0.224,0.056,0
"2017-09-01T14:30:00Z","2017-09-01T15:00:00Z",-3.066,-4.466,-1.453,0.742,180,0.179,0.064,0
"2017-09-01T15:00:00Z","2017-09-01T15:30:00Z",-0.278,-1.437,0.558,0.286,180,0.118,0.040,0
"2017-09-01T15:30:00Z","2017-09-01T16:00:00Z",1.543,0.555,2.285,0.273,180,0.127,0.039,0
"2017-09-01T16:00:00Z","2017-09-01T16:30:00Z",3.530,2.285,5.036,0.722,180,0.189,0.063,0
"2017-09-01T16:30:00Z","2017-09-01T17:00:00Z",6.161,5.062,7.616,1.099,77,0.317,0.119,1
"2017-09-01T17:00:00Z","2017-09-01T17:30:00Z",8.259,7.422,9.049,0.252,180,0.276,0.037,0
"2017-09-01T17:30:00Z","2017-09-01T18:00:00Z",9.925,9.046,10.986,0.321,180,0.325,0.042,0
"2017-09-01T18:00:00Z","2017-09-01T18:30:00Z",12.070,10.996,13.169,0.383,180,0.387,0.046,0
"2017-09-01T18:30:00Z","2017-09-01T19:00:00Z",14.128,13.169,14.596,0.186,180,0.441,0.032,0
"2017-09-01T19:00:00Z","2017-09-01T19:30:00Z",13.844,13.540,14.329,0.049,180,0.429,0.016,0
"2017-09-01T19:30:00Z","2017-09-01T20:00:00Z",17.513,14.356,21.427,4.963,138,0.658,0.190,1
"2017-09-01T20:00:00Z","2017-09-01T20:30:00Z",23.223,21.221,25.749,1.717,119,0.748,0.120,1
"2017-09-01T20:30:00Z","2017-09-01T21:00:00Z",18.852,16.760,21.210,1.789,180,0.612,0.100,0
"2017-09-01T21:00:00Z","2017-09-01T21:30:00Z",16.347,15.659,16.745,0.080,180,0.506,0.021,0
"2017-09-01T21:30:00Z","2017-09-01T22:00:00Z",15.179,14.900,15.640,0.030,180,0.470,0.013,0
"2017-09-01T22:00:00Z","2017-09-01T22:30:00Z",14.210,13.559,14.897,0.196,180,0.446,0.033,0
"2017-09-01T22:30:00Z","2017-09-01T23:00:00Z",13.168,12.465,13.570,0.115,180,0.414,0.025,0
"2017-09-01T23:00:00Z","2017-09-01T23:30:00Z",12.457,12.035,13.182,0.100,77,0.397,0.036,1
"2017-09-01T23:30:00Z","2017-09-02T00:00:00Z",11.230,10.047,12.468,0.446,180,0.369,0.050,0
"2017-09-02T00:00:00Z","2017-09-02T00:30:00Z",8.583,7.257,10.035,0.707,180,0.306,0.063,0
