uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
257f3692-f182-42d3-bef9-22a7c88b1b6d,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,41,,41,2.4,21.0,,NEON.PLA.D10.CPER.00078,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
1044705a-acb6-43c6-b37d-98126ef49a38,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,3.1,35.5,,NEON.PLA.D10.CPER.00004,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
4d44429c-6a65-4b25-8db2-fa3e150cac12,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,10.5,38.0,,NEON.PLA.D10.CPER.00016,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
bb51a9bd-eb6a-4003-9d7a-fd3f382130fe,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,5.6,64.5,,NEON.PLA.D10.CPER.00012,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
c3598398-e668-4f5c-b08d-8f808cd1ad03,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,41,,41,1.3,76.0,,NEON.PLA.D10.CPER.00072,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
b6786471-7cb9-40e3-9885-c7cf325cd119,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,7.1,69.0,,NEON.PLA.D10.CPER.00013,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
08203336-b2d4-4df6-91fa-c80777efc989,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,4.2,73.0,,NEON.PLA.D10.CPER.00010,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
40fdeef8-0c3a-49a3-a61a-2361d1165b9a,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,5.5,80.0,,NEON.PLA.D10.CPER.00011,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
7d4b75d3-104e-47ab-9acd-77a1f91f982a,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,41,,41,8.7,81.0,,NEON.PLA.D10.CPER.00074,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
104ff655-3aed-45f1-80f8-973ec311ba7b,CPER_013.basePlot.vst,2014-09-10,vst_CPER_2014,D10,CPER,CPER_013,31,,31,5.2,24.0,,NEON.PLA.D10.CPER.00006,,,NEON.DOC.000987vE,ATCA2,Atriplex canescens (Pursh) Nutt.,species,,,,,,kbarrett@neoninc.org,kbarrett@neoninc.org,
