uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
eddc70c8-e797-4f56-980b-d23ae23fa63e,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02319,,ok,single bole tree,"Live, broken bole",23.9,130,,6.2,,6.2,23.0,,,,,,,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
af1ac44d-053b-430f-b063-e8c7e9456cf6,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02139,,ok,small shrub,Live,,,,0.4,,,,0.6,0.4,,oblate half-sphere,1.4,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
6d943bea-1abc-4a67-b966-336a98c243f5,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02140,,ok,small shrub,Live,,,,0.6,,,,3.8,3.4,,oblate half-sphere,1.7,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
a5ed9998-43cc-4a78-ad83-9f74aced33cf,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02135,,ok,small shrub,Live,,,,0.5,,,,2.9,2.3,,oblate half-sphere,1.3,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
755eb018-7d59-4393-92d9-1c7f9a4e6d8e,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02135,,ok,small shrub,Live,,,,0.5,,,,2.9,2.3,,oblate half-sphere,1.4,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
71d42413-fd2d-4c8b-9b46-ddd8e0475515,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02142,,ok,small shrub,Live,,,,0.5,,,,1.6,1.3,,oblate half-sphere,1.7,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
db4b399a-7292-4a8a-994a-377ed4a69499,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02133,,ok,small shrub,Live,,,,0.4,,,,4.1,3.9,,oblate half-sphere,1.1,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
0bb32a1b-dceb-4206-bac6-83e2f028b502,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02331,,ok,small shrub,Live,,,,0.3,,,,2.3,1.9,,oblate half-sphere,1.5,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
97054d16-6280-408f-bf1b-7696a60f56ce,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02140,,ok,small shrub,Live,,,,0.6,,,,3.8,3.4,,oblate half-sphere,1.6,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
f12fce1f-083a-40ad-9639-1bd4b8374b96,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02316,,ok,single bole tree,Live,37.6,130,,14.2,,,,,,,,,,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
b6dc4181-0150-4c03-bdd9-e0b2fcc4810b,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02135,,ok,small shrub,Live,,,,0.5,,,,2.9,2.3,,oblate half-sphere,1.8,10,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
d5bc8e81-f3aa-4cd1-8907-37f5ec31323e,RMNP_043.basePlot.vst,2017-09-26,vst_RMNP_2017,D10,RMNP,RMNP_043,NEON.PLA.D10.RMNP.02320,,ok,single bole tree,Live,24.6,130,,15.8,,,,,,,,,,,,,,,,,,,,,jmorris@battelleecology.org,dbradley@battelleecology.org,,legacyData
