HOR.VER,name,description,start,end,referenceName,referenceDescription,referenceStart,referenceEnd,xOffset,yOffset,zOffset,pitch,roll,azimuth,referenceLatitude,referenceLongitude,referenceElevation,eastOffset,northOffset,xAzimuth,yAzimuth
"001.501",CFGLOC101728,"Central Plains Soil Heat Flux SP1","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.88,2.54,-0.08,4.00,0.00,20.00,,,,0.88,2.54,0.00,0.00
"001.501",CFGLOC101728,"Central Plains Soil Heat Flux SP1","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.88,2.54,-0.08,4.00,0.00,20.00,40.815670,-104.745720,1654.52,-1.17,2.42,45.00,315.00
"001.501",CFGLOC101728,"Central Plains Soil Heat Flux SP1","2021-08-04T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.88,2.54,-0.05,4.00,0.00,20.00,,,,0.88,2.54,0.00,0.00
"001.501",CFGLOC101728,"Central Plains Soil Heat Flux SP1","2021-08-04T00:00:00Z",,SOILPL100212,"Central Plains Soil Plot, SP1","2015-02-01T00:00:00Z",,0.88,2.54,-0.05,4.00,0.00,20.00,40.815670,-104.745720,1654.52,-1.17,2.42,45.00,315.00
"003.501",CFGLOC101782,"Central Plains Soil Heat Flux SP3","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.72,-0.08,1.00,0.00,260.00,,,,0.58,2.72,0.00,0.00
"003.501",CFGLOC101782,"Central Plains Soil Heat Flux SP3","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.58,2.72,-0.08,1.00,0.00,260.00,40.816180,-104.746390,1653.88,-1.51,2.33,45.00,315.00
"003.501",CFGLOC101782,"Central Plains Soil Heat Flux SP3","2021-08-04T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.58,2.72,-0.05,1.00,0.00,260.00,,,,0.58,2.72,0.00,0.00
"003.501",CFGLOC101782,"Central Plains Soil Heat Flux SP3","2021-08-04T00:00:00Z",,SOILPL100213,"Central Plains Soil Plot, SP3","2015-02-01T00:00:00Z",,0.58,2.72,-0.05,1.00,0.00,260.00,40.816180,-104.746390,1653.88,-1.51,2.33,45.00,315.00
"005.501",CFGLOC101836,"Central Plains Soil Heat Flux SP5","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.97,2.41,-0.08,1.00,0.00,280.00,,,,0.97,2.41,0.00,0.00
"005.501",CFGLOC101836,"Central Plains Soil Heat Flux SP5","2010-01-01T00:00:00Z","2021-08-04T00:00:00Z",SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.97,2.41,-0.08,1.00,0.00,280.00,40.816720,-104.747100,1653.03,-1.02,2.39,45.00,315.00
"005.501",CFGLOC101836,"Central Plains Soil Heat Flux SP5","2021-08-04T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2010-01-01T00:00:00Z","2015-01-31T23:59:59Z",0.97,2.41,-0.05,1.00,0.00,280.00,,,,0.97,2.41,0.00,0.00
"005.501",CFGLOC101836,"Central Plains Soil Heat Flux SP5","2021-08-04T00:00:00Z",,SOILPL100214,"Central Plains Soil Plot, SP5","2015-02-01T00:00:00Z",,0.97,2.41,-0.05,1.00,0.00,280.00,40.816720,-104.747100,1653.03,-1.02,2.39,45.00,315.00
