uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"f55f60ec-99a7-40e0-9e53-4a720194a8b3","CPER_013.basePlot.vst","2014-09-10",,"D10","CPER","CPER_013","distributed","grasslandHerbaceous",40.821979,-104.712840,"WGS84",20.1,524215.47,4519035.02,"13N",1623.6,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for Liana","D10KJB24",,"legacyData"
"77b2c287-7167-4ce0-950f-be30475fb176","CPER_066.basePlot.vst","2014-09-11",,"D10","CPER","CPER_066","tower","grasslandHerbaceous",40.816751,-104.749576,"WGS84",10.1,521119.27,4518445.18,"13N",1651.2,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"862b73b4-faa7-48f8-a427-e96d9add87d4","CPER_062.basePlot.vst","2014-09-11",,"D10","CPER","CPER_062","tower","grasslandHerbaceous",40.817267,-104.747786,"WGS84",10.1,521270.07,4518502.89,"13N",1651.7,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"e752c4e4-b6e5-4513-9a96-a723949a1dd4","CPER_004.basePlot.vst","2014-09-11",,"D10","CPER","CPER_004","distributed","grasslandHerbaceous",40.812750,-104.696873,"WGS84",20.1,525565.47,4518015.08,"13N",1622.7,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for lianas","D10KJB24",,"legacyData"
"2f27a3db-8049-4eae-9c14-ffcb4fdebc0a","CPER_056.basePlot.vst","2014-09-11",,"D10","CPER","CPER_056","tower","grasslandHerbaceous",40.816756,-104.748161,"WGS84",10.1,521238.61,4518446.07,"13N",1652.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"1e380865-71f6-4e5b-a7ac-8bbdf85fd18a","CPER_059.basePlot.vst","2014-09-11",,"D10","CPER","CPER_059","tower","grasslandHerbaceous",40.817554,-104.748855,"WGS84",10.1,521179.82,4518534.49,"13N",1651.3,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"b617ccbb-cdb7-477e-86a0-34003de2febf","CPER_010.basePlot.vst","2014-09-15",,"D10","CPER","CPER_010","distributed","grasslandHerbaceous",40.850010,-104.681398,"WGS84",20.1,526855.59,4522155.81,"13N",1646.2,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for Liana","D10KJB24",,"legacyData"
"ecb09df7-eca5-4e2e-b36e-e45bea1cab17","CPER_018.basePlot.vst","2014-09-15",,"D10","CPER","CPER_018","distributed","grasslandHerbaceous",40.825715,-104.695047,"WGS84",20.1,525714.47,4519454.81,"13N",1627.7,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"34348e92-af16-45b2-9681-55f7f6f62e26","CPER_017.basePlot.vst","2014-09-15",,"D10","CPER","CPER_017","distributed","grasslandHerbaceous",40.856261,-104.691691,"WGS84",20.1,525985.53,4522846.60,"13N",1640.4,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for Liana or Other","D10KJB24",,"legacyData"
"bb62ab06-f1a2-40db-be63-6bd1acb56653","CPER_002.basePlot.vst","2014-09-15",,"D10","CPER","CPER_002","distributed","grasslandHerbaceous",40.810934,-104.729248,"WGS84",20.1,522835.61,4517804.55,"13N",1651.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"5da4c2ae-5adf-40fa-892a-ded7e5071d19","CPER_007.basePlot.vst","2014-09-16",,"D10","CPER","CPER_007","distributed","grasslandHerbaceous",40.861915,-104.683832,"WGS84",20.1,526645.65,4523476.60,"13N",1646.7,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for Liana","D10KJB24",,"legacyData"
"52c72ea7-79b4-4934-8ec8-8d34c9b40313","CPER_063.basePlot.vst","2014-09-16",,"D10","CPER","CPER_063","tower","grasslandHerbaceous",40.818369,-104.747802,"WGS84",10.1,521268.37,4518625.21,"13N",1651.2,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"afe9e731-09a7-4b50-a8ac-a1a659e2af64","CPER_054.basePlot.vst","2014-09-16",,"D10","CPER","CPER_054","tower","grasslandHerbaceous",40.818898,-104.748127,"WGS84",10.1,521240.79,4518683.86,"13N",1651.8,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"38f6ebc6-a150-4e0e-b960-ab947fa16daf","CPER_051.basePlot.vst","2014-09-16",,"D10","CPER","CPER_051","tower","grasslandHerbaceous",40.818106,-104.748495,"WGS84",10.1,521210.01,4518595.85,"13N",1651.4,0.2,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"a83b02da-e87c-4914-b818-2143bcea3b9b","CPER_006.basePlot.vst","2014-09-17",,"D10","CPER","CPER_006","distributed","grasslandHerbaceous",40.814769,-104.748078,"WGS84",20.1,521246.24,4518225.52,"13N",1650.0,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"8ad32255-ffc9-4aef-afd5-7d55c3faf114","CPER_019.basePlot.vst","2014-09-17",,"D10","CPER","CPER_019","distributed","grasslandHerbaceous",40.824819,-104.785759,"WGS84",20.1,518065.62,4519332.69,"13N",1666.0,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"78f522fd-8fa2-44c4-aeca-e8a581e0bb2e","CPER_012.basePlot.vst","2014-09-17",,"D10","CPER","CPER_012","distributed","grasslandHerbaceous",40.802126,-104.771251,"WGS84",20.1,519295.57,4516816.72,"13N",1644.6,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana or Other","D10KJB24",,"legacyData"
"5b4c86d4-6a8b-4824-a530-f0249fa02f80","CPER_008.basePlot.vst","2014-09-17",,"D10","CPER","CPER_008","distributed","grasslandHerbaceous",40.798822,-104.749212,"WGS84",20.1,521155.66,4516455.04,"13N",1644.8,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"147aadfe-f25e-4af7-a141-b20e3bb8e8b4","CPER_009.basePlot.vst","2014-09-17",,"D10","CPER","CPER_009","distributed","grasslandHerbaceous",40.826120,-104.745903,"WGS84",20.1,521426.02,4519486.09,"13N",1656.6,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"d23aa21c-0e6e-437f-8c34-7d2553f48db9","CPER_016.basePlot.vst","2014-09-17",,"D10","CPER","CPER_016","distributed","grasslandHerbaceous",40.804501,-104.756306,"WGS84",20.1,520555.49,4517083.75,"13N",1640.3,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","1",400,400,400,8,"No qualifying stems for ShrubSapling or Liana","D10KJB24",,"legacyData"
"f646458d-f0a4-4cbb-ace0-ded7ec749e01","CPER_020.basePlot.vst","2014-09-18",,"D10","CPER","CPER_020","distributed","grasslandHerbaceous",40.785746,-104.707657,"WGS84",20.1,524665.95,4515014.38,"13N",1604.3,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for lianas","D10KJB24",,"legacyData"
"203b9bec-b658-48c7-b4ff-4f217884ae69","CPER_001.basePlot.vst","2014-09-18",,"D10","CPER","CPER_001","distributed","grasslandHerbaceous",40.850866,-104.699535,"WGS84",20.1,525326.45,4522245.42,"13N",1637.9,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for Liana","D10KJB24",,"legacyData"
"e80f787f-cf60-4339-bf6c-3971fd48ebcf","CPER_048.basePlot.vst","2014-09-29",,"D10","CPER","CPER_048","tower","grasslandHerbaceous",40.818931,-104.748858,"WGS84",20.1,521179.13,4518687.34,"13N",1652.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","10",400,400,400,80,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
"d2185c5d-a49b-4c0b-b980-1b7e43b83f6e","CPER_074.basePlot.vst","2014-09-29",,"D10","CPER","CPER_074","tower","grasslandHerbaceous",40.820001,-104.746711,"WGS84",10.1,521359.85,4518806.64,"13N",1646.1,0.1,,"vst_CPER_2014",,,,"NEON.DOC.000987vD",,,,,,,,,,,,,"noneSelected","noneSelected","noneSelected",400,400,400,400,"No qualifying stems for ShrubSapling or Liana","D10DPB11",,"legacyData"
