uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"c16f5f0e-ff81-44fa-966f-4071ef30f113","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00163",,,"small shrub","Live",1.1,10,,0.5,,,,0.8,0.7,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"26623054-03e2-4852-8512-dccafbce3282","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00169",,,"small shrub","Live",2.7,10,,0.7,,,,1.5,1.2,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"3361b73b-04ca-4a47-ab28-7a83156b7169","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00158",,,"small shrub","Live",1.5,10,,0.4,,,,0.5,0.2,"Mostly shaded","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"275d9ff6-99b2-4739-a43e-4808478a6120","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00153",,,"small shrub","Live",1.7,10,,0.6,,,,1.0,0.7,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"106444e6-ae85-44ef-8683-b3d0020585ec","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00166",,,"small shrub","Live",2.7,10,,0.6,,,,1.0,0.6,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"01f29282-7a99-40d1-a437-4e36eb073cb3","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00162",,,"small shrub","Live",3.6,10,,0.9,,,,1.7,1.5,"Open grown","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"dc737af6-94b9-4566-a2d4-e58c86f5e8c7","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00159",,,"small shrub","Live",1.9,10,,0.7,,,,1.1,1.1,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"86cc1cb6-917b-47b9-aba7-5a22f320ea58","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00171",,,"small shrub","Live",1.8,10,,0.8,,,,1.1,0.8,"Partially shaded","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"ac7e6e47-22ab-4cd1-994f-90b34f45a689","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00161",,,"small shrub","Live",5.0,10,,0.6,,,,1.0,0.8,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"23957bcb-377f-4c23-a69e-066ec3735581","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00168",,,"small shrub","Live",1.3,10,,0.6,,,,1.3,0.8,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"6d7da693-bc62-453c-9c2f-04d66a7c405c","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00156",,,"small shrub","Live",1.5,10,,0.7,,,,1.0,0.6,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"78b3edf4-7345-49b5-9234-3ccac05d1df7","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00145",,,"small shrub","Live",2.4,10,,0.7,,,,1.2,0.7,"Open grown","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"2a7e627f-a14e-423c-8e37-46a58a4d208f","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00160",,,"small shrub","Live",4.7,10,,0.9,,,,0.8,0.6,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"c0404189-ca9a-4a8d-8396-0de6762127a1","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00174",,,"small shrub","Live",2.9,10,,0.6,,,,0.9,0.5,"Open grown","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"44224d35-db1d-49ac-9ff4-c511c0e96538","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00146",,,"small shrub","Live",2.0,10,,0.5,,,,0.9,0.8,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"60f284d4-b3c1-4908-89ea-b0936841651e","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00175",,,"small shrub","Live",1.4,10,,0.8,,,,1.0,1.0,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"ffd4a887-1992-4d24-a1c4-4ae7ddc944b8","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00173",,,"small shrub","Live",1.8,10,,0.6,,,,0.7,0.5,"Full sun","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"4cc01a64-d8bd-45a6-ac8b-8cad31e6886b","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00151",,,"small shrub","Live",1.7,10,,0.5,,,,0.8,0.6,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"43c7def1-e07b-41c9-b68e-b14925719955","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00148",,,"small shrub","Live",4.2,10,,0.7,,,,1.3,1.0,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"353686fb-2af9-4cb2-b0c3-a9ffbab6820a","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00157",,,"small shrub","Live",1.7,10,,0.6,,,,1.4,0.7,"Partially shaded","oblate half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"bfe4651c-7bf6-40b9-a948-80608fdb18cf","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00172",,,"small shrub","Live",4.2,10,,0.3,,,,0.5,0.2,"Mostly shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"0adc34d4-4184-49cc-8b5f-1eddf489f920","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00170",,,"small shrub","Live",3.0,10,,0.8,,,,1.7,1.5,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"2d35253e-d0bb-4a31-965d-a83c5f85ea40","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00177",,,"small shrub","Live",4.3,10,,0.6,,,,1.4,1.3,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"2d8dcb29-9398-4e69-acef-be1cfad9a70e","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00149",,,"small shrub","Live",2.1,10,,0.8,,,,0.9,0.7,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"d01b932e-7932-48fa-9ba0-a5de79832149","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00152",,,"small shrub","Live",2.0,10,,0.6,,,,0.8,0.5,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"21840d53-088a-40e3-a912-1138ec17c73c","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00147",,,"small shrub","Live",2.9,10,,0.7,,,,1.2,0.7,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"a1d62f4c-eef9-4a27-a713-1c928e4aeb24","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00165",,,"small shrub","Standing dead",2.6,10,,0.6,,,,0.8,0.6,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"3695fe47-7229-4fbb-bd1f-f4ece1950775","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00167",,,"small shrub","Live",2.1,10,,0.7,,,,1.2,1.1,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"63b19ed9-6f14-47a1-a922-eb69c3bdb088","CPER_014.basePlot.vst","2014-10-01","vst_CPER_2014","D10","CPER","CPER_014","NEON.PLA.D10.CPER.00164",,,"small shrub","Live",1.4,10,,0.6,,,,0.5,0.4,"Partially shaded","inverted cone",,,0.10,0.10,,,,,,,,,,,,,"legacyData"
