startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2017-10-01T00:00:00Z","2017-10-01T00:01:00Z",2.250,2.219,2.275,0.000,6,0.095,0.009,0.000064037,0
"2017-10-01T00:01:00Z","2017-10-01T00:02:00Z",2.184,2.154,2.212,0.001,6,0.094,0.009,0.000064037,0
"2017-10-01T00:02:00Z","2017-10-01T00:03:00Z",2.126,2.105,2.154,0.000,6,0.092,0.008,0.000064037,0
"2017-10-01T00:03:00Z","2017-10-01T00:04:00Z",2.070,2.047,2.091,0.000,6,0.090,0.007,0.000064037,0
"2017-10-01T00:04:00Z","2017-10-01T00:05:00Z",2.016,1.998,2.038,0.000,6,0.089,0.006,0.000064037,0
"2017-10-01T00:05:00Z","2017-10-01T00:06:00Z",1.963,1.942,1.982,0.000,6,0.088,0.006,0.000064037,0
"2017-10-01T00:06:00Z","2017-10-01T00:07:00Z",1.914,1.896,1.931,0.000,6,0.087,0.006,0.000064037,0
"2017-10-01T00:07:00Z","2017-10-01T00:08:00Z",1.863,1.849,1.882,0.000,6,0.086,0.005,0.000064037,0
"2017-10-01T00:08:00Z","2017-10-01T00:09:00Z",1.819,1.800,1.835,0.000,6,0.085,0.006,0.000064037,0
"2017-10-01T00:09:00Z","2017-10-01T00:10:00Z",1.776,1.761,1.793,0.000,6,0.084,0.005,0.000064037,0
"2017-10-01T00:10:00Z","2017-10-01T00:11:00Z",1.735,1.714,1.759,0.000,6,0.083,0.007,0.000064037,0
"2017-10-01T00:11:00Z","2017-10-01T00:12:00Z",1.686,1.668,1.705,0.000,6,0.082,0.006,0.000064037,0
"2017-10-01T00:12:00Z","2017-10-01T00:13:00Z",1.647,1.626,1.663,0.000,6,0.081,0.006,0.000064037,0
"2017-10-01T00:13:00Z","2017-10-01T00:14:00Z",1.604,1.589,1.621,0.000,6,0.081,0.006,0.000064037,0
"2017-10-01T00:14:00Z","2017-10-01T00:15:00Z",1.569,1.552,1.582,0.000,6,0.080,0.005,0.000064037,0
"2017-10-01T00:15:00Z","2017-10-01T00:16:00Z",1.530,1.510,1.554,0.000,6,0.080,0.007,0.000064037,0
"2017-10-01T00:16:00Z","2017-10-01T00:17:00Z",1.491,1.475,1.507,0.000,6,0.078,0.005,0.000064037,0
"2017-10-01T00:17:00Z","2017-10-01T00:18:00Z",1.450,1.435,1.470,0.000,6,0.078,0.005,0.000064037,0
"2017-10-01T00:18:00Z","2017-10-01T00:19:00Z",1.409,1.384,1.424,0.000,6,0.077,0.006,0.000064037,0
"2017-10-01T00:19:00Z","2017-10-01T00:20:00Z",1.381,1.363,1.396,0.000,6,0.077,0.006,0.000064037,0
"2017-10-01T00:20:00Z","2017-10-01T00:21:00Z",1.340,1.324,1.351,0.000,6,0.076,0.005,0.000064037,0
"2017-10-01T00:21:00Z","2017-10-01T00:22:00Z",1.304,1.289,1.314,0.000,6,0.075,0.004,0.000064037,0
"2017-10-01T00:22:00Z","2017-10-01T00:23:00Z",1.265,1.249,1.282,0.000,6,0.075,0.005,0.000064037,0
"2017-10-01T00:23:00Z","2017-10-01T00:24:00Z",1.227,1.217,1.237,0.000,6,0.074,0.003,0.000064037,0
"2017-10-01T00:24:00Z","2017-10-01T00:25:00Z",1.190,1.175,1.203,0.000,6,0.073,0.004,0.000064037,0
