startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2018-02-01T00:00:00Z","2018-02-01T00:30:00Z",0.429,0.294,0.548,0.005,180,0.060,0.005,0
"2018-02-01T00:30:00Z","2018-02-01T01:00:00Z",0.121,-0.066,0.296,0.011,180,0.059,0.008,0
"2018-02-01T01:00:00Z","2018-02-01T01:30:00Z",-0.268,-0.482,-0.069,0.014,180,0.060,0.009,0
"2018-02-01T01:30:00Z","2018-02-01T02:00:00Z",-0.579,-0.683,-0.473,0.004,90,0.060,0.006,1
"2018-02-01T02:00:00Z","2018-02-01T02:30:00Z",-1.247,-1.447,-1.189,0.004,167,0.068,0.005,1
"2018-02-01T02:30:00Z","2018-02-01T03:00:00Z",-1.363,-1.513,-1.236,0.007,180,0.070,0.006,0
"2018-02-01T03:00:00Z","2018-02-01T03:30:00Z",-1.667,-1.820,-1.511,0.008,180,0.076,0.007,0
"2018-02-01T03:30:00Z","2018-02-01T04:00:00Z",-1.935,-2.034,-1.820,0.004,180,0.081,0.005,0
"2018-02-01T04:00:00Z","2018-02-01T04:30:00Z",-2.098,-2.168,-2.030,0.001,180,0.084,0.003,0
"2018-02-01T04:30:00Z","2018-02-01T05:00:00Z",-2.251,-2.367,-2.161,0.004,180,0.088,0.004,0
"2018-02-01T05:00:00Z","2018-02-01T05:30:00Z",-2.967,-3.117,-2.889,0.004,77,0.106,0.008,1
"2018-02-01T05:30:00Z","2018-02-01T06:00:00Z",-2.959,-3.098,-2.874,0.004,180,0.105,0.005,0
"2018-02-01T06:00:00Z","2018-02-01T06:30:00Z",-3.255,-3.430,-3.094,0.009,180,0.113,0.007,0
"2018-02-01T06:30:00Z","2018-02-01T07:00:00Z",-3.644,-3.880,-3.435,0.017,180,0.124,0.010,0
"2018-02-01T07:00:00Z","2018-02-01T07:30:00Z",-4.104,-4.344,-3.873,0.019,180,0.136,0.010,0
"2018-02-01T07:30:00Z","2018-02-01T08:00:00Z",-4.545,-4.738,-4.340,0.012,180,0.148,0.008,0
"2018-02-01T08:00:00Z","2018-02-01T08:30:00Z",-4.803,-4.870,-4.723,0.002,90,0.154,0.004,1
"2018-02-01T08:30:00Z","2018-02-01T09:00:00Z",-5.175,-5.403,-5.087,0.007,167,0.165,0.007,1
"2018-02-01T09:00:00Z","2018-02-01T09:30:00Z",-5.108,-5.129,-5.085,0.000,180,0.163,0.001,0
"2018-02-01T09:30:00Z","2018-02-01T10:00:00Z",-5.121,-5.133,-5.111,0.000,180,0.163,0.000,0
"2018-02-01T10:00:00Z","2018-02-01T10:30:00Z",-5.099,-5.131,-5.051,0.000,180,0.163,0.001,0
"2018-02-01T10:30:00Z","2018-02-01T11:00:00Z",-4.940,-5.055,-4.796,0.006,180,0.159,0.006,0
"2018-02-01T11:00:00Z","2018-02-01T11:30:00Z",-4.628,-4.796,-4.461,0.010,180,0.150,0.007,0
"2018-02-01T11:30:00Z","2018-02-01T12:00:00Z",-4.327,-4.543,-4.156,0.013,77,0.144,0.013,1
"2018-02-01T12:00:00Z","2018-02-01T12:30:00Z",-3.999,-4.156,-3.883,0.006,180,0.133,0.006,0
"2018-02-01T12:30:00Z","2018-02-01T13:00:00Z",-3.785,-3.885,-3.694,0.003,180,0.127,0.004,0
"2018-02-01T13:00:00Z","2018-02-01T13:30:00Z",-3.614,-3.694,-3.538,0.002,180,0.123,0.003,0
"2018-02-01T13:30:00Z","2018-02-01T14:00:00Z",-3.478,-3.546,-3.417,0.001,180,0.119,0.003,0
"2018-02-01T14:00:00Z","2018-02-01T14:30:00Z",-3.374,-3.428,-3.331,0.001,180,0.116,0.002,0
"2018-02-01T14:30:00Z","2018-02-01T15:00:00Z",-3.315,-3.337,-3.298,0.000,90,0.115,0.001,1
"2018-02-01T15:00:00Z","2018-02-01T15:30:00Z",-3.203,-3.454,-3.092,0.010,167,0.113,0.008,1
"2018-02-01T15:30:00Z","2018-02-01T16:00:00Z",-3.073,-3.105,-3.044,0.000,180,0.108,0.001,0
"2018-02-01T16:00:00Z","2018-02-01T16:30:00Z",-3.020,-3.057,-2.991,0.000,180,0.107,0.001,0
"2018-02-01T16:30:00Z","2018-02-01T17:00:00Z",-2.956,-2.993,-2.914,0.001,180,0.105,0.002,0
