startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2022-08-01T00:00:00Z","2022-08-01T00:30:00Z",70.801,70.121,71.201,0.096,180,2.125,0.023,1
"2022-08-01T00:30:00Z","2022-08-01T01:00:00Z",69.086,68.064,70.114,0.359,180,2.074,0.045,1
"2022-08-01T01:00:00Z","2022-08-01T01:30:00Z",67.309,66.649,68.068,0.170,180,2.020,0.031,1
"2022-08-01T01:30:00Z","2022-08-01T02:00:00Z",66.075,65.405,66.656,0.125,180,1.983,0.026,1
"2022-08-01T02:00:00Z","2022-08-01T02:30:00Z",64.628,63.861,65.403,0.206,180,1.940,0.034,1
"2022-08-01T02:30:00Z","2022-08-01T03:00:00Z",63.206,62.572,63.875,0.139,180,1.897,0.028,1
"2022-08-01T03:00:00Z","2022-08-01T03:30:00Z",61.971,61.364,62.579,0.123,180,1.860,0.026,1
"2022-08-01T03:30:00Z","2022-08-01T04:00:00Z",60.815,60.262,61.374,0.102,180,1.825,0.024,1
"2022-08-01T04:00:00Z","2022-08-01T04:30:00Z",59.714,59.113,60.262,0.114,180,1.792,0.025,1
"2022-08-01T04:30:00Z","2022-08-01T05:00:00Z",58.483,57.853,59.111,0.133,180,1.755,0.027,1
"2022-08-01T05:00:00Z","2022-08-01T05:30:00Z",57.216,56.578,57.867,0.137,180,1.717,0.028,1
"2022-08-01T05:30:00Z","2022-08-01T06:00:00Z",56.009,55.465,56.590,0.105,180,1.681,0.024,1
"2022-08-01T06:00:00Z","2022-08-01T06:30:00Z",54.968,54.469,55.488,0.083,180,1.650,0.021,1
"2022-08-01T06:30:00Z","2022-08-01T07:00:00Z",54.069,53.675,54.493,0.052,180,1.622,0.017,1
"2022-08-01T07:00:00Z","2022-08-01T07:30:00Z",53.371,53.067,53.696,0.030,180,1.601,0.013,1
