startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2022-09-01T00:00:00Z","2022-09-01T00:01:00Z",70.833,70.798,70.867,0.001,6,2.125,0.010,0.000063020,1
"2022-09-01T00:01:00Z","2022-09-01T00:02:00Z",70.757,70.727,70.789,0.001,6,2.123,0.010,0.000063020,1
"2022-09-01T00:02:00Z","2022-09-01T00:03:00Z",70.680,70.638,70.713,0.001,6,2.121,0.012,0.000063020,1
"2022-09-01T00:03:00Z","2022-09-01T00:04:00Z",70.599,70.562,70.635,0.001,6,2.118,0.011,0.000063020,1
"2022-09-01T00:04:00Z","2022-09-01T00:05:00Z",70.517,70.477,70.552,0.001,6,2.116,0.012,0.000063020,1
"2022-09-01T00:05:00Z","2022-09-01T00:06:00Z",70.431,70.396,70.460,0.001,6,2.113,0.010,0.000063020,1
"2022-09-01T00:06:00Z","2022-09-01T00:07:00Z",70.347,70.314,70.387,0.001,6,2.111,0.011,0.000063020,1
"2022-09-01T00:07:00Z","2022-09-01T00:08:00Z",70.261,70.231,70.297,0.001,6,2.108,0.010,0.000063020,1
"2022-09-01T00:08:00Z","2022-09-01T00:09:00Z",70.179,70.143,70.212,0.001,6,2.105,0.010,0.000063020,1
"2022-09-01T00:09:00Z","2022-09-01T00:10:00Z",70.096,70.054,70.132,0.001,6,2.103,0.012,0.000063020,1
"2022-09-01T00:10:00Z","2022-09-01T00:11:00Z",70.014,69.980,70.044,0.001,6,2.101,0.009,0.000063020,1
"2022-09-01T00:11:00Z","2022-09-01T00:12:00Z",69.934,69.895,69.964,0.001,6,2.098,0.010,0.000063020,1
"2022-09-01T00:12:00Z","2022-09-01T00:13:00Z",69.853,69.819,69.890,0.001,6,2.096,0.010,0.000063020,1
"2022-09-01T00:13:00Z","2022-09-01T00:14:00Z",69.772,69.739,69.810,0.001,6,2.093,0.011,0.000063020,1
"2022-09-01T00:14:00Z","2022-09-01T00:15:00Z",69.697,69.666,69.727,0.001,6,2.091,0.010,0.000063020,1
"2022-09-01T00:15:00Z","2022-09-01T00:16:00Z",69.623,69.595,69.656,0.001,6,2.089,0.010,0.000063020,1
"2022-09-01T00:16:00Z","2022-09-01T00:17:00Z",69.542,69.517,69.581,0.001,6,2.086,0.010,0.000063020,1
"2022-09-01T00:17:00Z","2022-09-01T00:18:00Z",69.469,69.436,69.503,0.001,6,2.084,0.010,0.000063020,1
"2022-09-01T00:18:00Z","2022-09-01T00:19:00Z",69.396,69.363,69.427,0.001,6,2.082,0.010,0.000063020,1
"2022-09-01T00:19:00Z","2022-09-01T00:20:00Z",69.324,69.294,69.358,0.001,6,2.080,0.010,0.000063020,1
"2022-09-01T00:20:00Z","2022-09-01T00:21:00Z",69.248,69.216,69.280,0.000,6,2.078,0.009,0.000063020,1
"2022-09-01T00:21:00Z","2022-09-01T00:22:00Z",69.180,69.148,69.207,0.001,6,2.075,0.009,0.000063020,1
"2022-09-01T00:22:00Z","2022-09-01T00:23:00Z",69.107,69.077,69.134,0.000,6,2.073,0.009,0.000063020,1
"2022-09-01T00:23:00Z","2022-09-01T00:24:00Z",69.038,69.006,69.072,0.001,6,2.071,0.010,0.000063020,1
"2022-09-01T00:24:00Z","2022-09-01T00:25:00Z",68.964,68.933,68.994,0.000,6,2.069,0.009,0.000063020,1
"2022-09-01T00:25:00Z","2022-09-01T00:26:00Z",68.895,68.871,68.928,0.000,6,2.067,0.008,0.000063020,1
"2022-09-01T00:26:00Z","2022-09-01T00:27:00Z",68.824,68.793,68.857,0.001,6,2.065,0.009,0.000063020,1
