startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2022-12-01T00:00:00Z","2022-12-01T00:30:00Z",3.2257,2.8562,3.5594,0.0115,1800.0000,0.1384,0.0025,0
"2022-12-01T00:30:00Z","2022-12-01T01:00:00Z",3.3469,3.0177,3.8673,0.0294,1800.0000,0.1386,0.0040,0
"2022-12-01T01:00:00Z","2022-12-01T01:30:00Z",3.1041,2.1208,3.8393,0.1325,1800.0000,0.1395,0.0086,0
"2022-12-01T01:30:00Z","2022-12-01T02:00:00Z",3.1435,2.7826,3.4889,0.0263,1800.0000,0.1385,0.0038,0
"2022-12-01T02:00:00Z","2022-12-01T02:30:00Z",3.1713,2.2870,3.6327,0.0696,1800.0000,0.1389,0.0062,0
"2022-12-01T02:30:00Z","2022-12-01T03:00:00Z",2.7634,2.2944,3.2478,0.0430,1800.0000,0.1385,0.0049,0
"2022-12-01T03:00:00Z","2022-12-01T03:30:00Z",2.3929,1.6481,2.7874,0.0579,1800.0000,0.1384,0.0057,0
"2022-12-01T03:30:00Z","2022-12-01T04:00:00Z",1.9933,1.6900,2.3264,0.0253,1800.0000,0.1380,0.0037,0
"2022-12-01T04:00:00Z","2022-12-01T04:30:00Z",2.0630,1.8013,2.2542,0.0106,1800.0000,0.1378,0.0024,0
"2022-12-01T04:30:00Z","2022-12-01T05:00:00Z",1.9460,1.6582,2.1589,0.0083,1800.0000,0.1377,0.0021,0
"2022-12-01T05:00:00Z","2022-12-01T05:30:00Z",1.0186,-0.0202,2.0276,0.2904,1800.0000,0.1399,0.0127,0
"2022-12-01T05:30:00Z","2022-12-01T06:00:00Z",0.5809,-0.8295,1.5450,0.5862,1800.0000,0.1421,0.0180,0
"2022-12-01T06:00:00Z","2022-12-01T06:30:00Z",0.7551,-0.5335,2.5175,0.6836,1800.0000,0.1432,0.0195,0
"2022-12-01T06:30:00Z","2022-12-01T07:00:00Z",1.2161,-1.0754,2.5816,1.1276,1800.0000,0.1467,0.0250,0
"2022-12-01T07:00:00Z","2022-12-01T07:30:00Z",1.8558,1.0490,2.4809,0.1183,1800.0000,0.1388,0.0081,0
"2022-12-01T07:30:00Z","2022-12-01T08:00:00Z",0.6494,-0.6965,1.9014,0.4004,1800.0000,0.1408,0.0149,0
"2022-12-01T08:00:00Z","2022-12-01T08:30:00Z",0.6665,-0.4901,1.7051,0.2291,1800.0000,0.1393,0.0113,0
"2022-12-01T08:30:00Z","2022-12-01T09:00:00Z",1.0340,-0.6660,2.4406,0.6053,1800.0000,0.1426,0.0183,0
"2022-12-01T09:00:00Z","2022-12-01T09:30:00Z",0.5214,-0.4681,1.6944,0.2748,1800.0000,0.1397,0.0124,0
"2022-12-01T09:30:00Z","2022-12-01T10:00:00Z",0.9943,0.2919,1.7172,0.1481,1800.0000,0.1387,0.0091,0
"2022-12-01T10:00:00Z","2022-12-01T10:30:00Z",0.6186,-0.1212,1.3218,0.1578,1800.0000,0.1386,0.0094,0
"2022-12-01T10:30:00Z","2022-12-01T11:00:00Z",1.3105,0.2466,2.4573,0.3271,1800.0000,0.1404,0.0135,0
"2022-12-01T11:00:00Z","2022-12-01T11:30:00Z",0.5689,-0.6552,2.3005,0.2365,1800.0000,0.1396,0.0115,0
"2022-12-01T11:30:00Z","2022-12-01T12:00:00Z",0.7198,0.0292,1.6350,0.1426,1800.0000,0.1386,0.0089,0
"2022-12-01T12:00:00Z","2022-12-01T12:30:00Z",1.6219,0.4977,2.3656,0.2412,1800.0000,0.1397,0.0116,0
"2022-12-01T12:30:00Z","2022-12-01T13:00:00Z",1.7977,0.7640,2.3780,0.1636,1800.0000,0.1391,0.0095,0
"2022-12-01T13:00:00Z","2022-12-01T13:30:00Z",0.9645,-0.0244,2.0126,0.3558,1800.0000,0.1405,0.0141,0
"2022-12-01T13:30:00Z","2022-12-01T14:00:00Z",1.3465,0.1152,2.5430,0.4684,1800.0000,0.1416,0.0161,0
"2022-12-01T14:00:00Z","2022-12-01T14:30:00Z",1.3739,0.7410,2.3022,0.1419,1800.0000,0.1389,0.0089,0
"2022-12-01T14:30:00Z","2022-12-01T15:00:00Z",2.6483,1.5557,3.5022,0.2793,1800.0000,0.1405,0.0125,0
"2022-12-01T15:00:00Z","2022-12-01T15:30:00Z",3.5586,2.8057,5.0496,0.3502,1800.0000,0.1417,0.0139,0
"2022-12-01T15:30:00Z","2022-12-01T16:00:00Z",4.9475,3.8384,5.5943,0.2322,1800.0000,0.1410,0.0114,0
