startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2021-11-01T00:00:00Z","2021-11-01T00:30:00Z",-2.228,-2.534,-1.841,0.040,101,0.098,0.020,1
"2021-11-01T00:30:00Z","2021-11-01T01:00:00Z",-2.866,-3.124,-2.532,0.028,180,0.107,0.013,0
"2021-11-01T01:00:00Z","2021-11-01T01:30:00Z",-3.287,-3.426,-3.121,0.007,180,0.115,0.006,0
"2021-11-01T01:30:00Z","2021-11-01T02:00:00Z",-3.518,-3.602,-3.415,0.003,180,0.121,0.004,0
"2021-11-01T02:00:00Z","2021-11-01T02:30:00Z",-3.659,-3.724,-3.593,0.001,180,0.124,0.003,0
"2021-11-01T02:30:00Z","2021-11-01T03:00:00Z",-3.764,-3.819,-3.711,0.001,180,0.127,0.002,0
"2021-11-01T03:00:00Z","2021-11-01T03:30:00Z",-3.836,-3.869,-3.797,0.000,180,0.129,0.001,0
"2021-11-01T03:30:00Z","2021-11-01T04:00:00Z",-3.874,-3.901,-3.851,0.000,180,0.130,0.001,0
"2021-11-01T04:00:00Z","2021-11-01T04:30:00Z",-3.898,-3.919,-3.876,0.000,180,0.131,0.001,0
"2021-11-01T04:30:00Z","2021-11-01T05:00:00Z",-3.918,-3.941,-3.892,0.000,180,0.131,0.001,0
"2021-11-01T05:00:00Z","2021-11-01T05:30:00Z",-3.947,-3.973,-3.919,0.000,180,0.132,0.001,0
"2021-11-01T05:30:00Z","2021-11-01T06:00:00Z",-3.964,-3.984,-3.948,0.000,180,0.132,0.001,0
"2021-11-01T06:00:00Z","2021-11-01T06:30:00Z",-3.975,-4.000,-3.952,0.000,180,0.133,0.001,0
"2021-11-01T06:30:00Z","2021-11-01T07:00:00Z",-3.996,-4.023,-3.973,0.000,180,0.133,0.001,0
"2021-11-01T07:00:00Z","2021-11-01T07:30:00Z",-4.017,-4.038,-3.998,0.000,180,0.134,0.001,0
"2021-11-01T07:30:00Z","2021-11-01T08:00:00Z",-4.045,-4.072,-4.018,0.000,180,0.135,0.001,0
"2021-11-01T08:00:00Z","2021-11-01T08:30:00Z",-4.063,-4.079,-4.045,0.000,180,0.135,0.001,0
