startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2022-02-01T00:00:00Z","2022-02-01T00:01:00Z",-2.133,-2.137,-2.125,0.000,6,0.088,0.002,0.000064697,0
"2022-02-01T00:01:00Z","2022-02-01T00:02:00Z",-2.135,-2.139,-2.132,0.000,6,0.088,0.001,0.000064697,0
"2022-02-01T00:02:00Z","2022-02-01T00:03:00Z",-2.138,-2.146,-2.132,0.000,6,0.088,0.002,0.000064697,0
"2022-02-01T00:03:00Z","2022-02-01T00:04:00Z",-2.133,-2.144,-2.121,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:04:00Z","2022-02-01T00:05:00Z",-2.128,-2.137,-2.119,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:05:00Z","2022-02-01T00:06:00Z",-2.136,-2.148,-2.130,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:06:00Z","2022-02-01T00:07:00Z",-2.135,-2.148,-2.123,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:07:00Z","2022-02-01T00:08:00Z",-2.140,-2.146,-2.132,0.000,6,0.088,0.002,0.000064697,0
"2022-02-01T00:08:00Z","2022-02-01T00:09:00Z",-2.129,-2.135,-2.123,0.000,6,0.088,0.002,0.000064697,0
"2022-02-01T00:09:00Z","2022-02-01T00:10:00Z",-2.132,-2.148,-2.119,0.000,6,0.088,0.005,0.000064697,0
"2022-02-01T00:10:00Z","2022-02-01T00:11:00Z",-2.132,-2.144,-2.119,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:11:00Z","2022-02-01T00:12:00Z",-2.135,-2.148,-2.123,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:12:00Z","2022-02-01T00:13:00Z",-2.134,-2.148,-2.121,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:13:00Z","2022-02-01T00:14:00Z",-2.135,-2.144,-2.125,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:14:00Z","2022-02-01T00:15:00Z",-2.137,-2.144,-2.128,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:15:00Z","2022-02-01T00:16:00Z",-2.134,-2.146,-2.125,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:16:00Z","2022-02-01T00:17:00Z",-2.133,-2.142,-2.121,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:17:00Z","2022-02-01T00:18:00Z",-2.145,-2.153,-2.135,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:18:00Z","2022-02-01T00:19:00Z",-2.139,-2.146,-2.130,0.000,6,0.088,0.002,0.000064697,0
"2022-02-01T00:19:00Z","2022-02-01T00:20:00Z",-2.137,-2.153,-2.123,0.000,6,0.089,0.005,0.000064697,0
"2022-02-01T00:20:00Z","2022-02-01T00:21:00Z",-2.132,-2.144,-2.121,0.000,6,0.088,0.003,0.000064697,0
"2022-02-01T00:21:00Z","2022-02-01T00:22:00Z",-2.137,-2.151,-2.125,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:22:00Z","2022-02-01T00:23:00Z",-2.137,-2.148,-2.121,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:23:00Z","2022-02-01T00:24:00Z",-2.142,-2.155,-2.132,0.000,6,0.088,0.004,0.000064697,0
"2022-02-01T00:24:00Z","2022-02-01T00:25:00Z",-2.132,-2.144,-2.121,0.000,6,0.088,0.003,0.000064697,0
