startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2022-10-01T00:00:00Z","2022-10-01T00:30:00Z",62.361,61.815,62.775,0.083,180,1.871,0.021,1
"2022-10-01T00:30:00Z","2022-10-01T01:00:00Z",61.116,60.410,61.803,0.171,180,1.835,0.031,1
"2022-10-01T01:00:00Z","2022-10-01T01:30:00Z",59.763,59.115,60.398,0.136,180,1.794,0.027,1
"2022-10-01T01:30:00Z","2022-10-01T02:00:00Z",58.544,58.100,59.110,0.088,180,1.757,0.022,1
"2022-10-01T02:00:00Z","2022-10-01T02:30:00Z",57.845,57.677,58.093,0.014,180,1.735,0.009,1
"2022-10-01T02:30:00Z","2022-10-01T03:00:00Z",57.570,57.452,57.689,0.005,180,1.727,0.005,1
"2022-10-01T03:00:00Z","2022-10-01T03:30:00Z",57.336,57.218,57.457,0.005,180,1.720,0.005,1
"2022-10-01T03:30:00Z","2022-10-01T04:00:00Z",57.148,57.069,57.218,0.002,180,1.714,0.003,1
"2022-10-01T04:00:00Z","2022-10-01T04:30:00Z",56.867,56.596,57.069,0.023,180,1.706,0.011,1
"2022-10-01T04:30:00Z","2022-10-01T05:00:00Z",56.411,56.277,56.589,0.009,180,1.692,0.007,1
"2022-10-01T05:00:00Z","2022-10-01T05:30:00Z",56.217,56.175,56.279,0.001,180,1.687,0.002,1
"2022-10-01T05:30:00Z","2022-10-01T06:00:00Z",56.182,56.173,56.190,0.000,84,1.685,0.000,1
"2022-10-01T06:00:00Z","2022-10-01T06:30:00Z",56.131,56.069,56.178,0.001,173,1.684,0.002,1
"2022-10-01T06:30:00Z","2022-10-01T07:00:00Z",56.018,55.960,56.076,0.001,180,1.681,0.002,1
"2022-10-01T07:00:00Z","2022-10-01T07:30:00Z",55.925,55.875,55.979,0.001,180,1.678,0.002,1
"2022-10-01T07:30:00Z","2022-10-01T08:00:00Z",55.806,55.717,55.880,0.002,180,1.674,0.003,1
"2022-10-01T08:00:00Z","2022-10-01T08:30:00Z",55.581,55.393,55.719,0.008,180,1.667,0.007,1
"2022-10-01T08:30:00Z","2022-10-01T09:00:00Z",55.171,54.965,55.395,0.015,180,1.655,0.009,1
"2022-10-01T09:00:00Z","2022-10-01T09:30:00Z",54.845,54.757,54.967,0.003,180,1.645,0.004,1
"2022-10-01T09:30:00Z","2022-10-01T10:00:00Z",54.784,54.754,54.832,0.001,180,1.644,0.002,1
"2022-10-01T10:00:00Z","2022-10-01T10:30:00Z",54.881,54.832,54.917,0.001,180,1.646,0.002,1
"2022-10-01T10:30:00Z","2022-10-01T11:00:00Z",54.918,54.896,54.934,0.000,180,1.648,0.001,1
"2022-10-01T11:00:00Z","2022-10-01T11:30:00Z",54.872,54.757,54.934,0.003,180,1.646,0.004,1
"2022-10-01T11:30:00Z","2022-10-01T12:00:00Z",54.544,54.260,54.761,0.022,180,1.636,0.011,1
"2022-10-01T12:00:00Z","2022-10-01T12:30:00Z",53.844,53.413,54.267,0.060,179,1.616,0.018,1
"2022-10-01T12:30:00Z","2022-10-01T13:00:00Z",52.998,52.609,53.411,0.054,180,1.590,0.017,1
"2022-10-01T13:00:00Z","2022-10-01T13:30:00Z",52.286,51.983,52.612,0.033,180,1.569,0.014,1
"2022-10-01T13:30:00Z","2022-10-01T14:00:00Z",51.749,51.550,51.978,0.015,180,1.553,0.009,1
"2022-10-01T14:00:00Z","2022-10-01T14:30:00Z",51.461,51.420,51.552,0.001,180,1.544,0.003,1
"2022-10-01T14:30:00Z","2022-10-01T15:00:00Z",51.824,51.477,52.423,0.072,180,1.555,0.020,1
"2022-10-01T15:00:00Z","2022-10-01T15:30:00Z",54.207,52.433,55.904,1.171,180,1.634,0.081,1
"2022-10-01T15:30:00Z","2022-10-01T16:00:00Z",56.747,55.909,57.415,0.184,180,1.704,0.032,1
"2022-10-01T16:00:00Z","2022-10-01T16:30:00Z",58.025,57.415,58.723,0.143,180,1.742,0.028,1
"2022-10-01T16:30:00Z","2022-10-01T17:00:00Z",59.405,58.733,60.109,0.144,180,1.783,0.028,1
"2022-10-01T17:00:00Z","2022-10-01T17:30:00Z",61.010,60.126,61.779,0.234,180,1.832,0.036,1
"2022-10-01T17:30:00Z","2022-10-01T18:00:00Z",62.595,61.791,63.458,0.243,180,1.879,0.037,1
"2022-10-01T18:00:00Z","2022-10-01T18:30:00Z",64.287,63.460,65.039,0.219,180,1.930,0.035,1
"2022-10-01T18:30:00Z","2022-10-01T19:00:00Z",65.353,65.049,65.656,0.032,84,1.961,0.020,1
"2022-10-01T19:00:00Z","2022-10-01T19:30:00Z",66.926,66.413,67.422,0.086,173,2.008,0.022,1
"2022-10-01T19:30:00Z","2022-10-01T20:00:00Z",67.661,67.422,67.976,0.021,180,2.030,0.011,1
"2022-10-01T20:00:00Z","2022-10-01T20:30:00Z",68.022,67.770,68.118,0.008,180,2.041,0.007,1
"2022-10-01T20:30:00Z","2022-10-01T21:00:00Z",67.298,66.855,67.767,0.065,180,2.019,0.019,1
"2022-10-01T21:00:00Z","2022-10-01T21:30:00Z",66.079,65.030,66.845,0.286,180,1.984,0.040,1
"2022-10-01T21:30:00Z","2022-10-01T22:00:00Z",63.843,62.796,65.021,0.441,180,1.918,0.050,1
"2022-10-01T22:00:00Z","2022-10-01T22:30:00Z",62.467,62.304,62.784,0.016,180,1.874,0.009,1
"2022-10-01T22:30:00Z","2022-10-01T23:00:00Z",62.339,62.215,62.392,0.002,180,1.870,0.003,1
"2022-10-01T23:00:00Z","2022-10-01T23:30:00Z",61.731,61.106,62.208,0.103,180,1.853,0.024,1
"2022-10-01T23:30:00Z","2022-10-02T00:00:00Z",60.435,59.907,61.096,0.123,180,1.814,0.026,1
"2022-10-02T00:00:00Z","2022-10-02T00:30:00Z",59.509,59.143,59.909,0.051,180,1.786,0.017,1
"2022-10-02T00:30:00Z","2022-10-02T01:00:00Z",58.794,58.379,59.139,0.048,180,1.764,0.016,1
"2022-10-02T01:00:00Z","2022-10-02T01:30:00Z",57.833,57.249,58.375,0.107,180,1.736,0.024,1
"2022-10-02T01:30:00Z","2022-10-02T02:00:00Z",56.589,55.936,57.247,0.147,180,1.699,0.029,1
"2022-10-02T02:00:00Z","2022-10-02T02:30:00Z",55.305,54.671,55.929,0.130,180,1.660,0.027,1
"2022-10-02T02:30:00Z","2022-10-02T03:00:00Z",54.160,53.662,54.690,0.093,180,1.625,0.023,1
"2022-10-02T03:00:00Z","2022-10-02T03:30:00Z",53.208,52.806,53.655,0.060,180,1.597,0.018,1
"2022-10-02T03:30:00Z","2022-10-02T04:00:00Z",52.503,52.229,52.808,0.028,180,1.575,0.013,1
"2022-10-02T04:00:00Z","2022-10-02T04:30:00Z",52.021,51.860,52.229,0.013,180,1.561,0.008,1
