startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2021-07-01T00:00:00Z","2021-07-01T00:30:00Z",9.725,9.177,10.241,0.095,180,0.304,0.023,0
"2021-07-01T00:30:00Z","2021-07-01T01:00:00Z",8.520,7.805,9.166,0.153,180,0.271,0.029,0
"2021-07-01T01:00:00Z","2021-07-01T01:30:00Z",6.949,6.094,7.801,0.253,180,0.231,0.038,0
"2021-07-01T01:30:00Z","2021-07-01T02:00:00Z",5.416,4.822,6.091,0.140,180,0.184,0.028,0
"2021-07-01T02:00:00Z","2021-07-01T02:30:00Z",4.392,3.942,4.813,0.061,180,0.151,0.018,0
"2021-07-01T02:30:00Z","2021-07-01T03:00:00Z",3.392,2.829,3.935,0.100,180,0.129,0.024,0
"2021-07-01T03:00:00Z","2021-07-01T03:30:00Z",2.586,2.343,2.834,0.020,78,0.104,0.016,1
"2021-07-01T03:30:00Z","2021-07-01T04:00:00Z",1.694,1.142,2.398,0.125,179,0.099,0.026,0
"2021-07-01T04:00:00Z","2021-07-01T04:30:00Z",0.654,0.126,1.164,0.094,180,0.082,0.023,0
"2021-07-01T04:30:00Z","2021-07-01T05:00:00Z",-0.292,-0.649,0.124,0.050,180,0.072,0.017,0
"2021-07-01T05:00:00Z","2021-07-01T05:30:00Z",-0.997,-1.391,-0.659,0.046,180,0.077,0.016,0
"2021-07-01T05:30:00Z","2021-07-01T06:00:00Z",-1.799,-2.186,-1.387,0.047,180,0.089,0.016,0
"2021-07-01T06:00:00Z","2021-07-01T06:30:00Z",-2.248,-2.310,-2.115,0.003,180,0.092,0.004,0
"2021-07-01T06:30:00Z","2021-07-01T07:00:00Z",-2.217,-2.295,-2.134,0.002,180,0.091,0.003,0
"2021-07-01T07:00:00Z","2021-07-01T07:30:00Z",-2.109,-2.150,-2.076,0.000,180,0.089,0.001,0
"2021-07-01T07:30:00Z","2021-07-01T08:00:00Z",-2.191,-2.286,-2.110,0.002,180,0.091,0.004,0
"2021-07-01T08:00:00Z","2021-07-01T08:30:00Z",-2.377,-2.464,-2.260,0.003,180,0.095,0.004,0
"2021-07-01T08:30:00Z","2021-07-01T09:00:00Z",-2.514,-2.571,-2.459,0.001,180,0.098,0.002,0
"2021-07-01T09:00:00Z","2021-07-01T09:30:00Z",-2.631,-2.735,-2.564,0.002,180,0.101,0.004,0
"2021-07-01T09:30:00Z","2021-07-01T10:00:00Z",-2.950,-3.221,-2.707,0.020,180,0.110,0.011,0
"2021-07-01T10:00:00Z","2021-07-01T10:30:00Z",-3.465,-3.756,-3.211,0.021,180,0.123,0.011,0
"2021-07-01T10:30:00Z","2021-07-01T11:00:00Z",-3.929,-4.134,-3.716,0.013,180,0.134,0.008,0
"2021-07-01T11:00:00Z","2021-07-01T11:30:00Z",-4.230,-4.405,-4.018,0.009,180,0.142,0.007,0
"2021-07-01T11:30:00Z","2021-07-01T12:00:00Z",-4.632,-4.884,-4.413,0.017,180,0.153,0.010,0
"2021-07-01T12:00:00Z","2021-07-01T12:30:00Z",-5.158,-5.340,-4.874,0.020,180,0.168,0.011,0
"2021-07-01T12:30:00Z","2021-07-01T13:00:00Z",-5.246,-5.345,-5.148,0.003,180,0.169,0.004,0
"2021-07-01T13:00:00Z","2021-07-01T13:30:00Z",-4.664,-5.160,-3.889,0.155,180,0.164,0.029,0
"2021-07-01T13:30:00Z","2021-07-01T14:00:00Z",-3.109,-3.873,-2.386,0.187,180,0.129,0.032,0
"2021-07-01T14:00:00Z","2021-07-01T14:30:00Z",-1.314,-2.386,0.019,0.498,180,0.128,0.053,0
"2021-07-01T14:30:00Z","2021-07-01T15:00:00Z",2.460,0.022,6.530,3.493,180,0.297,0.139,0
"2021-07-01T15:00:00Z","2021-07-01T15:30:00Z",13.980,6.566,19.132,16.485,180,0.741,0.303,0
"2021-07-01T15:30:00Z","2021-07-01T16:00:00Z",19.525,19.117,19.990,0.067,77,0.595,0.030,1
"2021-07-01T16:00:00Z","2021-07-01T16:30:00Z",20.039,19.850,20.435,0.028,180,0.608,0.013,0
"2021-07-01T16:30:00Z","2021-07-01T17:00:00Z",20.799,20.404,22.304,0.168,180,0.634,0.031,0
"2021-07-01T17:00:00Z","2021-07-01T17:30:00Z",25.415,22.380,26.582,1.447,180,0.790,0.090,0
"2021-07-01T17:30:00Z","2021-07-01T18:00:00Z",25.165,23.737,26.586,1.182,129,0.785,0.096,1
"2021-07-01T18:00:00Z","2021-07-01T18:30:00Z",21.843,19.122,23.735,1.977,180,0.694,0.105,0
"2021-07-01T18:30:00Z","2021-07-01T19:00:00Z",17.097,16.124,19.103,0.805,180,0.537,0.067,0
"2021-07-01T19:00:00Z","2021-07-01T19:30:00Z",21.452,16.765,25.457,7.877,180,0.774,0.209,0
"2021-07-01T19:30:00Z","2021-07-01T20:00:00Z",25.091,22.997,25.916,0.752,180,0.770,0.065,0
"2021-07-01T20:00:00Z","2021-07-01T20:30:00Z",19.110,15.644,22.966,5.064,180,0.671,0.168,0
"2021-07-01T20:30:00Z","2021-07-01T21:00:00Z",15.943,15.199,17.283,0.468,180,0.496,0.051,0
"2021-07-01T21:00:00Z","2021-07-01T21:30:00Z",17.934,17.312,18.845,0.177,180,0.549,0.031,0
"2021-07-01T21:30:00Z","2021-07-01T22:00:00Z",18.428,17.723,18.942,0.180,180,0.563,0.032,0
"2021-07-01T22:00:00Z","2021-07-01T22:30:00Z",17.280,16.472,17.749,0.137,180,0.528,0.028,0
"2021-07-01T22:30:00Z","2021-07-01T23:00:00Z",15.261,13.924,16.467,0.520,180,0.478,0.054,0
"2021-07-01T23:00:00Z","2021-07-01T23:30:00Z",12.331,10.734,13.905,0.845,180,0.402,0.068,0
"2021-07-01T23:30:00Z","2021-07-02T00:00:00Z",9.193,7.749,10.727,0.761,180,0.314,0.065,0
"2021-07-02T00:00:00Z","2021-07-02T00:30:00Z",6.497,5.451,7.732,0.440,180,0.230,0.049,0
"2021-07-02T00:30:00Z","2021-07-02T01:00:00Z",3.933,2.137,5.437,0.966,180,0.200,0.073,0
"2021-07-02T01:00:00Z","2021-07-02T01:30:00Z",1.293,0.876,2.115,0.116,180,0.091,0.025,0
"2021-07-02T01:30:00Z","2021-07-02T02:00:00Z",0.674,0.126,0.904,0.051,180,0.075,0.017,0
"2021-07-02T02:00:00Z","2021-07-02T02:30:00Z",-0.796,-1.729,0.123,0.300,180,0.106,0.041,0
"2021-07-02T02:30:00Z","2021-07-02T03:00:00Z",-2.691,-3.610,-1.741,0.297,180,0.130,0.041,0
"2021-07-02T03:00:00Z","2021-07-02T03:30:00Z",-4.479,-5.285,-3.622,0.235,180,0.164,0.036,0
"2021-07-02T03:30:00Z","2021-07-02T04:00:00Z",-5.974,-6.577,-5.306,0.138,180,0.197,0.028,0
"2021-07-02T04:00:00Z","2021-07-02T04:30:00Z",-7.094,-7.571,-6.567,0.082,180,0.225,0.021,0
"2021-07-02T04:30:00Z","2021-07-02T05:00:00Z",-7.727,-7.853,-7.561,0.007,77,0.240,0.010,1
"2021-07-02T05:00:00Z","2021-07-02T05:30:00Z",-8.280,-8.615,-7.848,0.048,180,0.258,0.016,0
"2021-07-02T05:30:00Z","2021-07-02T06:00:00Z",-8.909,-9.199,-8.627,0.026,180,0.275,0.012,0
"2021-07-02T06:00:00Z","2021-07-02T06:30:00Z",-9.525,-9.855,-9.180,0.037,180,0.293,0.014,0
"2021-07-02T06:30:00Z","2021-07-02T07:00:00Z",-10.160,-10.442,-9.855,0.029,180,0.312,0.013,0
"2021-07-02T07:00:00Z","2021-07-02T07:30:00Z",-10.638,-10.801,-10.432,0.011,180,0.325,0.008,0
"2021-07-02T07:30:00Z","2021-07-02T08:00:00Z",-10.849,-10.885,-10.787,0.001,180,0.331,0.002,0
"2021-07-02T08:00:00Z","2021-07-02T08:30:00Z",-10.924,-10.971,-10.875,0.001,180,0.333,0.002,0
"2021-07-02T08:30:00Z","2021-07-02T09:00:00Z",-11.050,-11.182,-10.959,0.004,180,0.337,0.005,0
"2021-07-02T09:00:00Z","2021-07-02T09:30:00Z",-11.286,-11.374,-11.165,0.003,180,0.344,0.004,0
"2021-07-02T09:30:00Z","2021-07-02T10:00:00Z",-11.414,-11.467,-11.359,0.001,180,0.348,0.002,0
"2021-07-02T10:00:00Z","2021-07-02T10:30:00Z",-11.478,-11.498,-11.445,0.000,180,0.350,0.001,0
"2021-07-02T10:30:00Z","2021-07-02T11:00:00Z",-11.502,-11.541,-11.477,0.000,180,0.350,0.001,0
"2021-07-02T11:00:00Z","2021-07-02T11:30:00Z",-11.659,-11.783,-11.534,0.005,180,0.355,0.005,0
"2021-07-02T11:30:00Z","2021-07-02T12:00:00Z",-11.871,-11.924,-11.778,0.002,180,0.361,0.003,0
"2021-07-02T12:00:00Z","2021-07-02T12:30:00Z",-11.888,-11.929,-11.805,0.001,180,0.362,0.002,0
"2021-07-02T12:30:00Z","2021-07-02T13:00:00Z",-11.701,-11.831,-11.558,0.006,180,0.356,0.006,0
"2021-07-02T13:00:00Z","2021-07-02T13:30:00Z",-11.265,-11.565,-10.761,0.051,180,0.345,0.017,0
"2021-07-02T13:30:00Z","2021-07-02T14:00:00Z",-9.331,-10.751,-7.410,1.071,180,0.325,0.077,0
"2021-07-02T14:00:00Z","2021-07-02T14:30:00Z",-5.557,-7.391,-3.870,1.098,180,0.236,0.078,0
"2021-07-02T14:30:00Z","2021-07-02T15:00:00Z",-1.708,-3.860,2.570,3.154,180,0.277,0.132,0
"2021-07-02T15:00:00Z","2021-07-02T15:30:00Z",13.281,2.656,24.643,43.858,180,1.069,0.494,0
"2021-07-02T15:30:00Z","2021-07-02T16:00:00Z",30.955,24.760,33.723,7.071,180,1.016,0.198,0
"2021-07-02T16:00:00Z","2021-07-02T16:30:00Z",31.337,28.111,33.675,2.978,180,0.981,0.129,0
"2021-07-02T16:30:00Z","2021-07-02T17:00:00Z",26.187,25.441,28.061,0.544,180,0.800,0.055,0
"2021-07-02T17:00:00Z","2021-07-02T17:30:00Z",26.574,26.102,26.897,0.057,180,0.804,0.018,0
"2021-07-02T17:30:00Z","2021-07-02T18:00:00Z",28.577,25.982,37.503,20.097,77,1.339,0.511,1
"2021-07-02T18:00:00Z","2021-07-02T18:30:00Z",43.141,37.627,45.098,5.274,180,1.346,0.171,0
"2021-07-02T18:30:00Z","2021-07-02T19:00:00Z",51.290,45.128,60.825,25.753,180,1.723,0.378,0
"2021-07-02T19:00:00Z","2021-07-02T19:30:00Z",60.778,55.048,63.328,6.097,180,1.868,0.184,0
"2021-07-02T19:30:00Z","2021-07-02T20:00:00Z",46.085,36.355,54.965,30.329,180,1.616,0.410,0
"2021-07-02T20:00:00Z","2021-07-02T20:30:00Z",31.693,29.676,36.257,3.375,180,0.997,0.137,0
"2021-07-02T20:30:00Z","2021-07-02T21:00:00Z",29.170,28.936,29.661,0.042,180,0.882,0.015,0
"2021-07-02T21:00:00Z","2021-07-02T21:30:00Z",29.232,28.826,29.524,0.060,180,0.884,0.018,0
"2021-07-02T21:30:00Z","2021-07-02T22:00:00Z",29.255,28.628,29.585,0.065,180,0.885,0.019,0
"2021-07-02T22:00:00Z","2021-07-02T22:30:00Z",27.532,26.859,28.655,0.294,180,0.837,0.040,0
"2021-07-02T22:30:00Z","2021-07-02T23:00:00Z",28.812,27.506,29.350,0.243,180,0.874,0.037,0
"2021-07-02T23:00:00Z","2021-07-02T23:30:00Z",26.216,23.814,28.358,1.760,180,0.818,0.099,0
"2021-07-02T23:30:00Z","2021-07-03T00:00:00Z",21.032,18.678,23.765,2.296,180,0.677,0.113,0
"2021-07-03T00:00:00Z","2021-07-03T00:30:00Z",17.158,15.623,18.663,0.718,180,0.537,0.063,0
"2021-07-03T00:30:00Z","2021-07-03T01:00:00Z",13.729,11.773,15.611,1.242,180,0.452,0.083,0
"2021-07-03T01:00:00Z","2021-07-03T01:30:00Z",8.875,5.744,11.765,3.551,180,0.395,0.140,0
"2021-07-03T01:30:00Z","2021-07-03T02:00:00Z",4.295,3.239,5.720,0.499,180,0.181,0.053,0
"2021-07-03T02:00:00Z","2021-07-03T02:30:00Z",2.295,1.318,3.229,0.314,180,0.128,0.042,0
"2021-07-03T02:30:00Z","2021-07-03T03:00:00Z",0.289,-0.732,1.301,0.352,180,0.111,0.044,0
"2021-07-03T03:00:00Z","2021-07-03T03:30:00Z",-1.693,-2.662,-0.725,0.314,180,0.117,0.042,0
"2021-07-03T03:30:00Z","2021-07-03T04:00:00Z",-3.515,-4.330,-2.648,0.232,180,0.142,0.036,0
"2021-07-03T04:00:00Z","2021-07-03T04:30:00Z",-4.999,-5.594,-4.335,0.130,180,0.171,0.027,0
"2021-07-03T04:30:00Z","2021-07-03T05:00:00Z",-6.061,-6.513,-5.587,0.072,180,0.196,0.020,0
"2021-07-03T05:00:00Z","2021-07-03T05:30:00Z",-6.934,-7.353,-6.510,0.059,180,0.220,0.018,0
"2021-07-03T05:30:00Z","2021-07-03T06:00:00Z",-7.770,-8.164,-7.358,0.055,180,0.244,0.017,0
"2021-07-03T06:00:00Z","2021-07-03T06:30:00Z",-8.513,-8.837,-8.161,0.039,180,0.264,0.015,0
"2021-07-03T06:30:00Z","2021-07-03T07:00:00Z",-8.952,-9.068,-8.837,0.004,77,0.276,0.007,1
"2021-07-03T07:00:00Z","2021-07-03T07:30:00Z",-9.513,-9.850,-9.068,0.051,180,0.294,0.017,0
"2021-07-03T07:30:00Z","2021-07-03T08:00:00Z",-10.061,-10.263,-9.848,0.012,180,0.309,0.008,0
"2021-07-03T08:00:00Z","2021-07-03T08:30:00Z",-10.418,-10.562,-10.245,0.008,180,0.319,0.007,0
"2021-07-03T08:30:00Z","2021-07-03T09:00:00Z",-10.654,-10.733,-10.559,0.002,180,0.326,0.004,0
"2021-07-03T09:00:00Z","2021-07-03T09:30:00Z",-10.717,-10.735,-10.700,0.000,180,0.328,0.001,0
"2021-07-03T09:30:00Z","2021-07-03T10:00:00Z",-10.717,-10.740,-10.688,0.000,180,0.328,0.001,0
"2021-07-03T10:00:00Z","2021-07-03T10:30:00Z",-10.670,-10.708,-10.640,0.000,180,0.326,0.001,0
"2021-07-03T10:30:00Z","2021-07-03T11:00:00Z",-10.717,-10.748,-10.670,0.000,180,0.328,0.001,0
"2021-07-03T11:00:00Z","2021-07-03T11:30:00Z",-10.645,-10.735,-10.537,0.003,180,0.326,0.004,0
"2021-07-03T11:30:00Z","2021-07-03T12:00:00Z",-10.461,-10.554,-10.376,0.002,180,0.320,0.004,0
"2021-07-03T12:00:00Z","2021-07-03T12:30:00Z",-10.286,-10.391,-10.145,0.005,180,0.315,0.005,0
"2021-07-03T12:30:00Z","2021-07-03T13:00:00Z",-9.898,-10.150,-9.591,0.028,180,0.305,0.013,0
"2021-07-03T13:00:00Z","2021-07-03T13:30:00Z",-9.129,-9.599,-8.324,0.133,180,0.286,0.027,0
"2021-07-03T13:30:00Z","2021-07-03T14:00:00Z",-6.424,-8.274,-4.271,1.524,180,0.274,0.092,0
"2021-07-03T14:00:00Z","2021-07-03T14:30:00Z",-1.945,-4.256,0.561,2.057,180,0.231,0.107,0
"2021-07-03T14:30:00Z","2021-07-03T15:00:00Z",2.363,0.571,3.842,0.835,180,0.169,0.068,0
"2021-07-03T15:00:00Z","2021-07-03T15:30:00Z",5.808,3.819,10.093,3.592,180,0.341,0.141,0
"2021-07-03T15:30:00Z","2021-07-03T16:00:00Z",14.414,10.150,18.664,6.175,180,0.576,0.185,0
"2021-07-03T16:00:00Z","2021-07-03T16:30:00Z",19.642,18.656,20.044,0.114,180,0.598,0.025,0
"2021-07-03T16:30:00Z","2021-07-03T17:00:00Z",19.158,18.820,20.841,0.222,180,0.586,0.035,0
"2021-07-03T17:00:00Z","2021-07-03T17:30:00Z",24.033,20.901,25.073,1.503,180,0.750,0.091,0
"2021-07-03T17:30:00Z","2021-07-03T18:00:00Z",30.472,24.701,41.275,27.047,180,1.205,0.388,0
"2021-07-03T18:00:00Z","2021-07-03T18:30:00Z",54.614,41.391,66.182,52.799,180,1.972,0.542,0
"2021-07-03T18:30:00Z","2021-07-03T19:00:00Z",72.580,66.283,76.068,9.294,180,2.233,0.227,0
"2021-07-03T19:00:00Z","2021-07-03T19:30:00Z",65.751,54.258,75.449,43.009,180,2.210,0.489,0
"2021-07-03T19:30:00Z","2021-07-03T20:00:00Z",48.603,39.314,54.175,24.447,77,1.849,0.563,1
"2021-07-03T20:00:00Z","2021-07-03T20:30:00Z",34.446,30.197,39.237,6.728,180,1.111,0.193,0
"2021-07-03T20:30:00Z","2021-07-03T21:00:00Z",28.472,27.480,30.362,0.733,180,0.871,0.064,0
"2021-07-03T21:00:00Z","2021-07-03T21:30:00Z",35.262,30.436,39.588,5.827,180,1.125,0.180,0
"2021-07-03T21:30:00Z","2021-07-03T22:00:00Z",43.070,39.655,44.296,1.641,180,1.313,0.095,0
"2021-07-03T22:00:00Z","2021-07-03T22:30:00Z",39.676,37.105,42.781,2.768,180,1.223,0.124,0
"2021-07-03T22:30:00Z","2021-07-03T23:00:00Z",33.999,30.769,37.076,3.549,180,1.065,0.140,0
"2021-07-03T23:00:00Z","2021-07-03T23:30:00Z",27.444,24.386,30.742,3.640,180,0.878,0.142,0
"2021-07-03T23:30:00Z","2021-07-04T00:00:00Z",21.780,19.259,24.346,2.293,180,0.698,0.113,0
"2021-07-04T00:00:00Z","2021-07-04T00:30:00Z",17.345,15.644,19.234,1.092,180,0.551,0.078,0
"2021-07-04T00:30:00Z","2021-07-04T01:00:00Z",13.999,12.446,15.617,0.866,180,0.450,0.069,0
"2021-07-04T01:00:00Z","2021-07-04T01:30:00Z",10.993,9.554,12.441,0.704,180,0.362,0.063,0
"2021-07-04T01:30:00Z","2021-07-04T02:00:00Z",8.361,7.153,9.562,0.480,180,0.282,0.052,0
"2021-07-04T02:00:00Z","2021-07-04T02:30:00Z",5.923,4.725,7.146,0.496,180,0.219,0.052,0
"2021-07-04T02:30:00Z","2021-07-04T03:00:00Z",3.743,2.761,4.750,0.316,180,0.157,0.042,0
