startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2022-11-01T00:00:00Z","2022-11-01T00:30:00Z",-1.328,-1.450,-1.214,0.004,180,0.076,0.005,0
"2022-11-01T00:30:00Z","2022-11-01T01:00:00Z",-1.575,-1.704,-1.447,0.006,180,0.080,0.006,0
"2022-11-01T01:00:00Z","2022-11-01T01:30:00Z",-1.807,-1.891,-1.697,0.003,180,0.084,0.004,0
"2022-11-01T01:30:00Z","2022-11-01T02:00:00Z",-1.924,-1.959,-1.886,0.000,84,0.086,0.002,1
"2022-11-01T02:00:00Z","2022-11-01T02:30:00Z",-1.343,-1.842,-0.417,0.144,173,0.095,0.029,0
"2022-11-01T02:30:00Z","2022-11-01T03:00:00Z",-2.146,-2.423,-1.845,0.028,180,0.093,0.012,0
"2022-11-01T03:00:00Z","2022-11-01T03:30:00Z",-2.715,-3.012,-2.427,0.029,180,0.106,0.013,0
"2022-11-01T03:30:00Z","2022-11-01T04:00:00Z",-3.340,-3.665,-3.010,0.036,180,0.121,0.014,0
"2022-11-01T04:00:00Z","2022-11-01T04:30:00Z",-3.928,-4.177,-3.657,0.022,180,0.135,0.011,0
"2022-11-01T04:30:00Z","2022-11-01T05:00:00Z",-4.437,-4.738,-4.173,0.026,180,0.149,0.012,0
"2022-11-01T05:00:00Z","2022-11-01T05:30:00Z",-5.196,-5.764,-4.729,0.093,180,0.174,0.023,0
"2022-11-01T05:30:00Z","2022-11-01T06:00:00Z",-6.344,-6.825,-5.781,0.096,180,0.205,0.023,0
"2022-11-01T06:00:00Z","2022-11-01T06:30:00Z",-7.163,-7.429,-6.828,0.030,180,0.225,0.013,0
"2022-11-01T06:30:00Z","2022-11-01T07:00:00Z",-7.596,-7.759,-7.420,0.009,180,0.236,0.007,0
"2022-11-01T07:00:00Z","2022-11-01T07:30:00Z",-7.891,-8.005,-7.757,0.005,180,0.245,0.005,0
"2022-11-01T07:30:00Z","2022-11-01T08:00:00Z",-8.092,-8.183,-8.002,0.003,180,0.250,0.004,0
"2022-11-01T08:00:00Z","2022-11-01T08:30:00Z",-8.324,-8.479,-8.185,0.008,180,0.257,0.007,0
"2022-11-01T08:30:00Z","2022-11-01T09:00:00Z",-8.624,-8.746,-8.479,0.006,180,0.266,0.006,0
"2022-11-01T09:00:00Z","2022-11-01T09:30:00Z",-8.818,-8.893,-8.746,0.002,180,0.271,0.003,0
"2022-11-01T09:30:00Z","2022-11-01T10:00:00Z",-8.955,-9.021,-8.883,0.001,180,0.275,0.003,0
"2022-11-01T10:00:00Z","2022-11-01T10:30:00Z",-9.077,-9.124,-9.013,0.001,180,0.279,0.002,0
"2022-11-01T10:30:00Z","2022-11-01T11:00:00Z",-9.195,-9.288,-9.117,0.003,180,0.282,0.004,0
"2022-11-01T11:00:00Z","2022-11-01T11:30:00Z",-9.388,-9.488,-9.283,0.003,180,0.288,0.004,0
"2022-11-01T11:30:00Z","2022-11-01T12:00:00Z",-9.568,-9.656,-9.485,0.002,180,0.293,0.004,0
"2022-11-01T12:00:00Z","2022-11-01T12:30:00Z",-9.742,-9.844,-9.656,0.003,180,0.299,0.004,0
"2022-11-01T12:30:00Z","2022-11-01T13:00:00Z",-9.933,-10.019,-9.839,0.002,180,0.304,0.004,0
"2022-11-01T13:00:00Z","2022-11-01T13:30:00Z",-10.074,-10.109,-10.015,0.001,180,0.308,0.002,0
"2022-11-01T13:30:00Z","2022-11-01T14:00:00Z",-10.101,-10.118,-10.075,0.000,180,0.309,0.001,0
"2022-11-01T14:00:00Z","2022-11-01T14:30:00Z",-10.039,-10.082,-9.967,0.001,150,0.307,0.002,1
"2022-11-01T14:30:00Z","2022-11-01T15:00:00Z",-8.683,-8.763,-8.432,0.006,107,0.268,0.008,1
"2022-11-01T15:00:00Z","2022-11-01T15:30:00Z",-8.017,-8.647,-7.080,0.203,180,0.257,0.034,0
