startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2022-11-01T00:00:00Z","2022-11-01T00:01:00Z",-4.211,-4.231,-4.193,0.000,6,0.141,0.006,0.000062369,0
"2022-11-01T00:01:00Z","2022-11-01T00:02:00Z",-4.239,-4.260,-4.205,0.000,6,0.142,0.008,0.000062369,0
"2022-11-01T00:02:00Z","2022-11-01T00:03:00Z",-4.254,-4.282,-4.229,0.000,6,0.143,0.008,0.000062369,0
"2022-11-01T00:03:00Z","2022-11-01T00:04:00Z",-4.266,-4.303,-4.227,0.001,6,0.144,0.011,0.000062369,0
"2022-11-01T00:04:00Z","2022-11-01T00:05:00Z",-4.294,-4.322,-4.272,0.000,6,0.143,0.007,0.000062369,0
"2022-11-01T00:05:00Z","2022-11-01T00:06:00Z",-4.299,-4.329,-4.282,0.000,6,0.144,0.009,0.000062369,0
"2022-11-01T00:06:00Z","2022-11-01T00:07:00Z",-4.314,-4.353,-4.296,0.000,6,0.144,0.008,0.000062369,0
"2022-11-01T00:07:00Z","2022-11-01T00:08:00Z",-4.320,-4.358,-4.291,0.001,6,0.145,0.011,0.000062369,0
"2022-11-01T00:08:00Z","2022-11-01T00:09:00Z",-4.345,-4.365,-4.320,0.000,6,0.145,0.008,0.000062369,0
"2022-11-01T00:09:00Z","2022-11-01T00:10:00Z",-4.352,-4.399,-4.334,0.001,6,0.146,0.010,0.000062369,0
"2022-11-01T00:10:00Z","2022-11-01T00:11:00Z",-4.380,-4.401,-4.368,0.000,6,0.145,0.005,0.000062369,0
"2022-11-01T00:11:00Z","2022-11-01T00:12:00Z",-4.398,-4.456,-4.360,0.001,6,0.148,0.013,0.000062369,0
"2022-11-01T00:12:00Z","2022-11-01T00:13:00Z",-4.408,-4.430,-4.387,0.000,6,0.146,0.007,0.000062369,0
"2022-11-01T00:13:00Z","2022-11-01T00:14:00Z",-4.419,-4.437,-4.408,0.000,6,0.146,0.005,0.000062369,0
"2022-11-01T00:14:00Z","2022-11-01T00:15:00Z",-4.415,-4.430,-4.384,0.000,6,0.147,0.007,0.000062369,0
"2022-11-01T00:15:00Z","2022-11-01T00:16:00Z",-4.432,-4.444,-4.413,0.000,6,0.147,0.005,0.000062369,0
"2022-11-01T00:16:00Z","2022-11-01T00:17:00Z",-4.439,-4.463,-4.420,0.000,6,0.147,0.006,0.000062369,0
"2022-11-01T00:17:00Z","2022-11-01T00:18:00Z",-4.458,-4.511,-4.435,0.001,6,0.149,0.011,0.000062369,0
"2022-11-01T00:18:00Z","2022-11-01T00:19:00Z",-4.462,-4.480,-4.446,0.000,6,0.148,0.005,0.000062369,0
"2022-11-01T00:19:00Z","2022-11-01T00:20:00Z",-4.469,-4.492,-4.451,0.000,6,0.148,0.006,0.000062369,0
"2022-11-01T00:20:00Z","2022-11-01T00:21:00Z",-4.475,-4.501,-4.461,0.000,6,0.148,0.007,0.000062369,0
"2022-11-01T00:21:00Z","2022-11-01T00:22:00Z",-4.501,-4.547,-4.480,0.001,6,0.150,0.010,0.000062369,0
"2022-11-01T00:22:00Z","2022-11-01T00:23:00Z",-4.482,-4.499,-4.466,0.000,6,0.148,0.005,0.000062369,0
"2022-11-01T00:23:00Z","2022-11-01T00:24:00Z",-4.502,-4.516,-4.475,0.000,6,0.149,0.006,0.000062369,0
"2022-11-01T00:24:00Z","2022-11-01T00:25:00Z",-4.519,-4.537,-4.494,0.000,6,0.149,0.006,0.000062369,0
