startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2018-12-01T00:00:00Z","2018-12-01T00:30:00Z",-2.4974,-2.6080,-1.8026,0.0197,1800.0000,0.1336,0.0033,0
"2018-12-01T00:30:00Z","2018-12-01T01:00:00Z",-1.9422,-2.3848,-1.6800,0.0214,1800.0000,0.1336,0.0034,0
"2018-12-01T01:00:00Z","2018-12-01T01:30:00Z",-2.0521,-2.2753,-1.7328,0.0184,1800.0000,0.1336,0.0032,0
"2018-12-01T01:30:00Z","2018-12-01T02:00:00Z",-2.1342,-2.3869,-1.9352,0.0122,1800.0000,0.1334,0.0026,0
"2018-12-01T02:00:00Z","2018-12-01T02:30:00Z",-2.3561,-2.5413,-2.1798,0.0076,1800.0000,0.1333,0.0021,0
"2018-12-01T02:30:00Z","2018-12-01T03:00:00Z",-2.5305,-2.7127,-2.2799,0.0080,1800.0000,0.1333,0.0021,0
"2018-12-01T03:00:00Z","2018-12-01T03:30:00Z",-2.5910,-2.8850,-2.2868,0.0194,1800.0000,0.1333,0.0033,0
"2018-12-01T03:30:00Z","2018-12-01T04:00:00Z",-2.9738,-3.3667,-2.5357,0.0371,1800.0000,0.1334,0.0045,0
"2018-12-01T04:00:00Z","2018-12-01T04:30:00Z",-3.2575,-3.5535,-2.9581,0.0280,1800.0000,0.1331,0.0039,0
"2018-12-01T04:30:00Z","2018-12-01T05:00:00Z",-3.3462,-3.6332,-3.0364,0.0260,1800.0000,0.1331,0.0038,0
"2018-12-01T05:00:00Z","2018-12-01T05:30:00Z",-3.8013,-3.9520,-3.4243,0.0149,1800.0000,0.1328,0.0029,0
"2018-12-01T05:30:00Z","2018-12-01T06:00:00Z",-3.9293,-4.1499,-3.6930,0.0096,1800.0000,0.1327,0.0023,0
"2018-12-01T06:00:00Z","2018-12-01T06:30:00Z",-3.8885,-4.3547,-3.4366,0.0537,1800.0000,0.1331,0.0055,0
"2018-12-01T06:30:00Z","2018-12-01T07:00:00Z",-3.3216,-3.6755,-2.9635,0.0325,1800.0000,0.1332,0.0042,0
"2018-12-01T07:00:00Z","2018-12-01T07:30:00Z",-3.3791,-3.6437,-3.1771,0.0153,1800.0000,0.1329,0.0029,0
"2018-12-01T07:30:00Z","2018-12-01T08:00:00Z",-3.6420,-3.9080,-3.4136,0.0100,1800.0000,0.1328,0.0024,0
"2018-12-01T08:00:00Z","2018-12-01T08:30:00Z",-3.6385,-3.9662,-3.2918,0.0253,1800.0000,0.1330,0.0038,0
"2018-12-01T08:30:00Z","2018-12-01T09:00:00Z",-4.0149,-4.3400,-3.8160,0.0158,1800.0000,0.1327,0.0030,0
