startDateTime,endDateTime,tempSingleMean,tempSingleMinimum,tempSingleMaximum,tempSingleVariance,tempSingleNumPts,tempSingleExpUncert,tempSingleStdErMean,finalQF
"2017-09-01T00:00:00Z","2017-09-01T00:30:00Z",11.6136,11.3792,11.8134,0.0160,1800.0000,0.1395,0.0030,0
"2017-09-01T00:30:00Z","2017-09-01T01:00:00Z",11.0770,10.4879,11.7224,0.1284,1800.0000,0.1403,0.0084,0
"2017-09-01T01:00:00Z","2017-09-01T01:30:00Z",10.2869,9.9225,10.5123,0.0222,1800.0000,0.1390,0.0035,0
"2017-09-01T01:30:00Z","2017-09-01T02:00:00Z",9.8737,9.4144,10.2066,0.0392,1800.0000,0.1390,0.0047,0
"2017-09-01T02:00:00Z","2017-09-01T02:30:00Z",9.8066,9.2368,10.2326,0.0723,1800.0000,0.1392,0.0063,0
"2017-09-01T02:30:00Z","2017-09-01T03:00:00Z",9.9958,9.6223,11.0302,0.1024,1800.0000,0.1398,0.0075,0
"2017-09-01T03:00:00Z","2017-09-01T03:30:00Z",10.7008,10.0728,11.9756,0.3622,1800.0000,0.1423,0.0142,0
"2017-09-01T03:30:00Z","2017-09-01T04:00:00Z",10.0334,9.4493,10.7905,0.0861,1800.0000,0.1396,0.0069,0
"2017-09-01T04:00:00Z","2017-09-01T04:30:00Z",9.1246,8.4955,9.8651,0.1602,1800.0000,0.1398,0.0094,0
"2017-09-01T04:30:00Z","2017-09-01T05:00:00Z",8.4406,7.9169,8.9850,0.0590,1800.0000,0.1386,0.0057,0
"2017-09-01T05:00:00Z","2017-09-01T05:30:00Z",9.2329,8.0543,10.3960,0.5108,1800.0000,0.1428,0.0168,0
"2017-09-01T05:30:00Z","2017-09-01T06:00:00Z",9.1259,8.8049,9.8716,0.0401,1800.0000,0.1388,0.0047,0
"2017-09-01T06:00:00Z","2017-09-01T06:30:00Z",10.0995,9.1175,11.1556,0.2188,1800.0000,0.1408,0.0110,0
"2017-09-01T06:30:00Z","2017-09-01T07:00:00Z",8.3358,7.7065,9.1445,0.1485,1800.0000,0.1394,0.0091,0
"2017-09-01T07:00:00Z","2017-09-01T07:30:00Z",7.5087,7.1948,7.7539,0.0146,1800.0000,0.1377,0.0028,0
"2017-09-01T07:30:00Z","2017-09-01T08:00:00Z",6.9170,6.4076,7.8939,0.1253,1800.0000,0.1387,0.0083,0
"2017-09-01T08:00:00Z","2017-09-01T08:30:00Z",6.9476,6.5140,7.4903,0.0515,1800.0000,0.1379,0.0054,0
"2017-09-01T08:30:00Z","2017-09-01T09:00:00Z",6.9431,6.4385,7.4004,0.0425,1800.0000,0.1378,0.0049,0
"2017-09-01T09:00:00Z","2017-09-01T09:30:00Z",8.7449,7.4130,10.4867,0.7145,1800.0000,0.1444,0.0199,0
"2017-09-01T09:30:00Z","2017-09-01T10:00:00Z",11.9304,9.4317,12.6637,0.5026,1800.0000,0.1436,0.0167,0
"2017-09-01T10:00:00Z","2017-09-01T10:30:00Z",12.0169,11.6421,12.2448,0.0145,1800.0000,0.1396,0.0028,0
"2017-09-01T10:30:00Z","2017-09-01T11:00:00Z",11.7376,11.3331,11.9866,0.0201,1800.0000,0.1396,0.0033,0
"2017-09-01T11:00:00Z","2017-09-01T11:30:00Z",11.8105,11.3051,12.1898,0.0483,1800.0000,0.1399,0.0052,0
"2017-09-01T11:30:00Z","2017-09-01T12:00:00Z",11.8301,11.2942,12.2333,0.0393,1800.0000,0.1398,0.0047,0
"2017-09-01T12:00:00Z","2017-09-01T12:30:00Z",11.6781,11.1672,12.2982,0.0987,1800.0000,0.1403,0.0074,0
"2017-09-01T12:30:00Z","2017-09-01T13:00:00Z",12.5844,11.2186,13.3906,0.4130,1800.0000,0.1433,0.0151,0
"2017-09-01T13:00:00Z","2017-09-01T13:30:00Z",12.1438,11.6232,12.8269,0.1005,1800.0000,0.1406,0.0075,0
"2017-09-01T13:30:00Z","2017-09-01T14:00:00Z",12.5143,11.7675,13.7887,0.3942,1800.0000,0.1433,0.0148,0
"2017-09-01T14:00:00Z","2017-09-01T14:30:00Z",14.0421,13.5364,14.4856,0.0616,1800.0000,0.1410,0.0059,0
"2017-09-01T14:30:00Z","2017-09-01T15:00:00Z",13.6943,13.4314,13.8558,0.0192,1800.0000,0.1404,0.0033,0
"2017-09-01T15:00:00Z","2017-09-01T15:30:00Z",13.8272,13.4851,14.1265,0.0338,1800.0000,0.1406,0.0043,0
"2017-09-01T15:30:00Z","2017-09-01T16:00:00Z",14.3864,13.7361,15.3654,0.2458,1800.0000,0.1428,0.0117,0
"2017-09-01T16:00:00Z","2017-09-01T16:30:00Z",15.8259,14.9904,17.1830,0.5189,1800.0000,0.1457,0.0170,0
"2017-09-01T16:30:00Z","2017-09-01T17:00:00Z",17.7164,16.8930,18.8049,0.2501,1800.0000,0.1443,0.0118,0
"2017-09-01T17:00:00Z","2017-09-01T17:30:00Z",18.3792,17.6576,19.5109,0.1411,1800.0000,0.1438,0.0089,0
"2017-09-01T17:30:00Z","2017-09-01T18:00:00Z",18.3071,16.9193,19.9722,0.4527,1800.0000,0.1463,0.0159,0
"2017-09-01T18:00:00Z","2017-09-01T18:30:00Z",19.1722,18.0517,20.1297,0.2316,1800.0000,0.1447,0.0113,0
"2017-09-01T18:30:00Z","2017-09-01T19:00:00Z",19.7497,18.3126,21.3767,0.7371,1800.0000,0.1491,0.0202,0
"2017-09-01T19:00:00Z","2017-09-01T19:30:00Z",19.7980,18.3777,20.8944,0.3940,1800.0000,0.1463,0.0148,0
"2017-09-01T19:30:00Z","2017-09-01T20:00:00Z",19.0605,18.1648,20.1682,0.3133,1800.0000,0.1454,0.0132,0
"2017-09-01T20:00:00Z","2017-09-01T20:30:00Z",19.4974,18.1291,21.5044,0.8658,1800.0000,0.1501,0.0219,0
"2017-09-01T20:30:00Z","2017-09-01T21:00:00Z",20.4175,19.4221,21.2292,0.1987,1800.0000,0.1449,0.0105,0
"2017-09-01T21:00:00Z","2017-09-01T21:30:00Z",19.7930,18.6346,20.9313,0.5061,1800.0000,0.1472,0.0168,0
"2017-09-01T21:30:00Z","2017-09-01T22:00:00Z",19.8298,18.8274,21.4071,0.4535,1800.0000,0.1470,0.0159,0
"2017-09-01T22:00:00Z","2017-09-01T22:30:00Z",18.8575,18.4947,19.3286,0.0463,1800.0000,0.1430,0.0051,0
"2017-09-01T22:30:00Z","2017-09-01T23:00:00Z",18.3600,18.0856,18.9281,0.0303,1800.0000,0.1427,0.0041,0
"2017-09-01T23:00:00Z","2017-09-01T23:30:00Z",18.0823,17.6999,18.5371,0.0542,1800.0000,0.1427,0.0055,0
"2017-09-01T23:30:00Z","2017-09-02T00:00:00Z",17.3109,16.5756,17.8273,0.1314,1800.0000,0.1430,0.0085,0
"2017-09-02T00:00:00Z","2017-09-02T00:30:00Z",15.8521,15.3457,16.5733,0.1015,1800.0000,0.1422,0.0075,0
"2017-09-02T00:30:00Z","2017-09-02T01:00:00Z",14.4399,13.5757,15.3590,0.2852,1800.0000,0.1431,0.0126,0
"2017-09-02T01:00:00Z","2017-09-02T01:30:00Z",12.8887,12.3118,13.6889,0.1980,1800.0000,0.1417,0.0105,0
"2017-09-02T01:30:00Z","2017-09-02T02:00:00Z",11.3987,10.4528,12.3525,0.3951,1800.0000,0.1427,0.0148,0
"2017-09-02T02:00:00Z","2017-09-02T02:30:00Z",10.2419,9.9242,10.5817,0.0254,1800.0000,0.1390,0.0038,0
"2017-09-02T02:30:00Z","2017-09-02T03:00:00Z",9.7362,9.3829,10.3686,0.0428,1800.0000,0.1391,0.0049,0
