uid,namedLocation,date,eventID,domainID,siteID,plotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"9f5380bc-7fb4-4785-9e86-1369ff35054b","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00020",,,"small shrub","Live,  other damage",1.6,10,,0.4,,,,0.5,0.5,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"0ff28017-6a7d-4b42-b85c-baedc5a51a92","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00011",,,"small shrub","Live",1.2,10,,0.3,,,,0.7,0.6,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"2d7011f0-cf94-4036-ade8-1c85f6830dcd","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00006",,,"small shrub","Live",1.4,10,,0.5,,,,0.8,0.6,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"353529c1-cdba-4e7e-8b60-52324380e9c5","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00059",,,"small shrub","Live",1.1,10,,0.4,,,,1.0,0.8,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"c79ec293-238f-4e7d-adef-e96976f2be34","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00078",,,"small shrub","Live",1.8,10,,0.5,,,,0.9,0.7,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"9fc538c9-5f39-493e-9006-e711fec850a8","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00061",,,"small shrub","Live",3.2,10,,0.7,,,,1.5,1.4,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"9294fc80-0a45-497a-be5e-f3834d67e170","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00001",,,"small shrub","Live",2.5,10,,0.7,,,,0.9,0.9,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"99720573-e331-4aef-a438-188168de518b","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00008",,,"small shrub","Live",3.9,10,,0.5,,,,0.5,0.4,"Partially shaded","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"3ed7f85c-ae6e-4805-8300-f215766cf39f","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00033",,,"small shrub","Live",1.6,10,,0.6,,,,1.4,1.4,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
"b7cc8ab4-cb95-4cea-8473-afb91ad9cf51","CPER_013.basePlot.vst","2014-09-10","vst_CPER_2014","D10","CPER","CPER_013","NEON.PLA.D10.CPER.00013",,,"small shrub","Live",1.3,10,,0.5,,,,0.7,0.5,"Open grown","half-sphere",,,,,,,,,,,,,,,,,"legacyData"
