uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"639f5f47-c8ce-4114-8749-9bffb8d79dcf","CPER_054.basePlot.vst","2017-09-14",,"D10","CPER","CPER_054","tower","grasslandHerbaceous",40.818898,-104.748127,"WGS84",10.1,521240.79,4518683.86,"13N",1651.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"sscherneck@battelleecology.org","nleder@battelleecology.org",
"0e9eaf2c-abe3-401a-a2a6-1a89448fa59e","CPER_046.basePlot.vst","2017-09-14",,"D10","CPER","CPER_046","tower","grasslandHerbaceous",40.817297,-104.747096,"WGS84",20.1,521328.25,4518506.39,"13N",1652.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"sscherneck@battelleecology.org","nleder@battelleecology.org",
"66ee6384-0ae9-4f1e-a723-9b3766b6d06b","CPER_051.basePlot.vst","2017-09-14",,"D10","CPER","CPER_051","tower","grasslandHerbaceous",40.818106,-104.748495,"WGS84",10.1,521210.01,4518595.85,"13N",1651.4,0.2,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"014aefb1-85e9-4495-87a0-d70ab74d1934","CPER_069.basePlot.vst","2017-09-14",,"D10","CPER","CPER_069","tower","grasslandHerbaceous",40.818644,-104.749581,"WGS84",10.1,521118.25,4518655.31,"13N",1652.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"70b893f5-52b6-4643-a54e-bb6bc1a773d1","CPER_060.basePlot.vst","2017-09-14",,"D10","CPER","CPER_060","tower","grasslandHerbaceous",40.817273,-104.746358,"WGS84",10.1,521390.49,4518503.90,"13N",1653.0,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"Jlinden@battelleecology.org","kbenson@battelleecology.org",
"2bd6cf64-df26-4143-bce1-6feded9b7ec2","CPER_056.basePlot.vst","2017-09-14",,"D10","CPER","CPER_056","tower","grasslandHerbaceous",40.816756,-104.748161,"WGS84",10.1,521238.61,4518446.07,"13N",1652.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","25",400,400,400,200,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"1c13fce1-6c28-4223-a662-e4275fba0d67","CPER_059.basePlot.vst","2017-09-14",,"D10","CPER","CPER_059","tower","grasslandHerbaceous",40.817554,-104.748855,"WGS84",10.1,521179.82,4518534.49,"13N",1651.3,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"827668c9-19ed-4100-9963-e35d8ec30783","CPER_048.basePlot.vst","2017-09-14",,"D10","CPER","CPER_048","tower","grasslandHerbaceous",40.818931,-104.748858,"WGS84",20.1,521179.13,4518687.34,"13N",1652.1,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"dbradley@battelleecology.org","Pjudge@battelleecology.org",
"4a727401-2a31-441a-b9f0-daab951be600","CPER_062.basePlot.vst","2017-09-14",,"D10","CPER","CPER_062","tower","grasslandHerbaceous",40.817267,-104.747786,"WGS84",10.1,521270.07,4518502.89,"13N",1651.7,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"sscherneck@battelleecology.org","nleder@battelleecology.org",
"5d1f9e01-5184-43b0-8dd1-5f2c73c24743","CPER_052.basePlot.vst","2017-09-14",,"D10","CPER","CPER_052","tower","grasslandHerbaceous",40.817276,-104.745643,"WGS84",10.1,521450.79,4518504.41,"13N",1653.8,0.1,,"vst_CPER_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y",,,"N","N","N","Y","N","N","N","N","N","noneSelected","noneSelected","10",400,400,400,80,,"sscherneck@battelleecology.org","nleder@battelleecology.org",
