startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2017-03-01T00:00:00Z","2017-03-01T00:30:00Z",-1.266,-1.299,-1.240,0.000,102,0.068,0.001,1
"2017-03-01T00:30:00Z","2017-03-01T01:00:00Z",-1.084,-1.177,-0.867,0.005,155,0.066,0.006,1
"2017-03-01T01:00:00Z","2017-03-01T01:30:00Z",-1.159,-1.209,-1.128,0.000,180,0.066,0.001,0
"2017-03-01T01:30:00Z","2017-03-01T02:00:00Z",-1.189,-1.228,-1.157,0.000,180,0.067,0.001,0
"2017-03-01T02:00:00Z","2017-03-01T02:30:00Z",-1.215,-1.258,-1.181,0.000,180,0.067,0.001,0
"2017-03-01T02:30:00Z","2017-03-01T03:00:00Z",-1.243,-1.279,-1.213,0.000,180,0.068,0.001,0
"2017-03-01T03:00:00Z","2017-03-01T03:30:00Z",-1.268,-1.303,-1.230,0.000,180,0.068,0.001,0
"2017-03-01T03:30:00Z","2017-03-01T04:00:00Z",-1.110,-1.311,-0.907,0.009,77,0.069,0.011,1
"2017-03-01T04:00:00Z","2017-03-01T04:30:00Z",-1.208,-1.260,-1.151,0.001,180,0.067,0.002,0
"2017-03-01T04:30:00Z","2017-03-01T05:00:00Z",-1.277,-1.335,-1.221,0.001,180,0.068,0.002,0
"2017-03-01T05:00:00Z","2017-03-01T05:30:00Z",-1.344,-1.395,-1.296,0.001,180,0.069,0.002,0
"2017-03-01T05:30:00Z","2017-03-01T06:00:00Z",-1.406,-1.452,-1.360,0.000,180,0.070,0.002,0
"2017-03-01T06:00:00Z","2017-03-01T06:30:00Z",-1.461,-1.510,-1.418,0.000,180,0.071,0.002,0
"2017-03-01T06:30:00Z","2017-03-01T07:00:00Z",-1.502,-1.540,-1.467,0.000,102,0.072,0.002,1
"2017-03-01T07:00:00Z","2017-03-01T07:30:00Z",-1.372,-1.477,-1.114,0.007,155,0.071,0.007,1
"2017-03-01T07:30:00Z","2017-03-01T08:00:00Z",-1.507,-1.559,-1.445,0.001,180,0.072,0.002,0
"2017-03-01T08:00:00Z","2017-03-01T08:30:00Z",-1.580,-1.635,-1.527,0.001,180,0.074,0.002,0
"2017-03-01T08:30:00Z","2017-03-01T09:00:00Z",-1.645,-1.706,-1.603,0.000,180,0.075,0.002,0
"2017-03-01T09:00:00Z","2017-03-01T09:30:00Z",-1.704,-1.749,-1.661,0.000,180,0.076,0.002,0
"2017-03-01T09:30:00Z","2017-03-01T10:00:00Z",-1.762,-1.806,-1.719,0.000,180,0.077,0.002,0
"2017-03-01T10:00:00Z","2017-03-01T10:30:00Z",-1.597,-1.809,-1.393,0.011,77,0.077,0.012,1
"2017-03-01T10:30:00Z","2017-03-01T11:00:00Z",-1.715,-1.799,-1.628,0.001,180,0.076,0.003,0
"2017-03-01T11:00:00Z","2017-03-01T11:30:00Z",-1.803,-1.876,-1.746,0.001,180,0.078,0.002,0
"2017-03-01T11:30:00Z","2017-03-01T12:00:00Z",-1.866,-1.916,-1.820,0.000,180,0.079,0.002,0
"2017-03-01T12:00:00Z","2017-03-01T12:30:00Z",-1.926,-1.983,-1.880,0.000,180,0.081,0.002,0
"2017-03-01T12:30:00Z","2017-03-01T13:00:00Z",-1.980,-2.032,-1.933,0.000,180,0.082,0.001,0
"2017-03-01T13:00:00Z","2017-03-01T13:30:00Z",-2.020,-2.055,-1.985,0.000,102,0.083,0.001,1
"2017-03-01T13:30:00Z","2017-03-01T14:00:00Z",-1.847,-1.949,-1.595,0.007,155,0.080,0.007,1
"2017-03-01T14:00:00Z","2017-03-01T14:30:00Z",-1.988,-2.056,-1.915,0.001,180,0.082,0.002,0
"2017-03-01T14:30:00Z","2017-03-01T15:00:00Z",-2.063,-2.114,-2.007,0.001,180,0.083,0.002,0
"2017-03-01T15:00:00Z","2017-03-01T15:30:00Z",-2.119,-2.167,-2.077,0.000,180,0.085,0.001,0
"2017-03-01T15:30:00Z","2017-03-01T16:00:00Z",-2.170,-2.216,-2.126,0.000,180,0.086,0.001,0
"2017-03-01T16:00:00Z","2017-03-01T16:30:00Z",-2.214,-2.252,-2.182,0.000,180,0.087,0.001,0
"2017-03-01T16:30:00Z","2017-03-01T17:00:00Z",-1.975,-2.252,-1.739,0.018,77,0.087,0.015,1
"2017-03-01T17:00:00Z","2017-03-01T17:30:00Z",-2.115,-2.195,-2.027,0.002,180,0.085,0.003,0
"2017-03-01T17:30:00Z","2017-03-01T18:00:00Z",-2.210,-2.268,-2.161,0.001,180,0.087,0.002,0
"2017-03-01T18:00:00Z","2017-03-01T18:30:00Z",-2.259,-2.304,-2.223,0.000,180,0.088,0.001,0
"2017-03-01T18:30:00Z","2017-03-01T19:00:00Z",-2.292,-2.325,-2.268,0.000,180,0.089,0.001,0
"2017-03-01T19:00:00Z","2017-03-01T19:30:00Z",-2.309,-2.336,-2.291,0.000,180,0.089,0.001,0
"2017-03-01T19:30:00Z","2017-03-01T20:00:00Z",-2.306,-2.336,-2.291,0.000,102,0.089,0.001,1
"2017-03-01T20:00:00Z","2017-03-01T20:30:00Z",-2.013,-2.141,-1.748,0.008,155,0.083,0.007,1
"2017-03-01T20:30:00Z","2017-03-01T21:00:00Z",-2.104,-2.139,-2.070,0.000,180,0.084,0.001,0
"2017-03-01T21:00:00Z","2017-03-01T21:30:00Z",-2.090,-2.134,-2.060,0.000,180,0.084,0.001,0
"2017-03-01T21:30:00Z","2017-03-01T22:00:00Z",-2.043,-2.115,-1.991,0.001,180,0.083,0.002,0
"2017-03-01T22:00:00Z","2017-03-01T22:30:00Z",-1.982,-2.077,-1.776,0.002,180,0.082,0.003,0
"2017-03-01T22:30:00Z","2017-03-01T23:00:00Z",-1.916,-1.968,-1.866,0.001,180,0.080,0.002,0
"2017-03-01T23:00:00Z","2017-03-01T23:30:00Z",-1.548,-1.908,-1.302,0.026,77,0.082,0.018,1
"2017-03-01T23:30:00Z","2017-03-02T00:00:00Z",-1.620,-1.662,-1.569,0.000,180,0.074,0.001,0
"2017-03-02T00:00:00Z","2017-03-02T00:30:00Z",-1.631,-1.665,-1.601,0.000,180,0.074,0.001,0
"2017-03-02T00:30:00Z","2017-03-02T01:00:00Z",-1.620,-1.656,-1.588,0.000,180,0.074,0.001,0
"2017-03-02T01:00:00Z","2017-03-02T01:30:00Z",-1.602,-1.641,-1.571,0.000,180,0.074,0.001,0
