startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,SHFInSituCorFactor,finalQF
"2021-03-01T00:00:00Z","2021-03-01T00:01:00Z",-4.125,-4.131,-4.119,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:01:00Z","2021-03-01T00:02:00Z",-4.119,-4.126,-4.109,0.000,6,0.139,0.003,0.000060997,0
"2021-03-01T00:02:00Z","2021-03-01T00:03:00Z",-4.115,-4.119,-4.109,0.000,6,0.139,0.001,0.000060997,0
"2021-03-01T00:03:00Z","2021-03-01T00:04:00Z",-4.115,-4.119,-4.109,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:04:00Z","2021-03-01T00:05:00Z",-4.118,-4.126,-4.114,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:05:00Z","2021-03-01T00:06:00Z",-4.116,-4.121,-4.111,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:06:00Z","2021-03-01T00:07:00Z",-4.118,-4.123,-4.111,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:07:00Z","2021-03-01T00:08:00Z",-4.113,-4.119,-4.106,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:08:00Z","2021-03-01T00:09:00Z",-4.114,-4.119,-4.111,0.000,6,0.139,0.001,0.000060997,0
"2021-03-01T00:09:00Z","2021-03-01T00:10:00Z",-4.117,-4.123,-4.114,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:10:00Z","2021-03-01T00:11:00Z",-4.112,-4.116,-4.106,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:11:00Z","2021-03-01T00:12:00Z",-4.111,-4.119,-4.106,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:12:00Z","2021-03-01T00:13:00Z",-4.112,-4.121,-4.106,0.000,6,0.139,0.002,0.000060997,0
"2021-03-01T00:13:00Z","2021-03-01T00:14:00Z",-4.114,-4.123,-4.104,0.000,6,0.139,0.003,0.000060997,0
"2021-03-01T00:14:00Z","2021-03-01T00:15:00Z",-4.110,-4.119,-4.099,0.000,6,0.139,0.003,0.000060997,0
