startDateTime,endDateTime,SHFMean,SHFMinimum,SHFMaximum,SHFVariance,SHFNumPts,SHFExpUncert,SHFStdErMean,finalQF
"2022-09-01T00:00:00Z","2022-09-01T00:30:00Z",69.688,68.599,70.867,0.445,180,2.093,0.050,1
"2022-09-01T00:30:00Z","2022-09-01T01:00:00Z",67.657,66.641,68.580,0.308,180,2.031,0.041,1
"2022-09-01T01:00:00Z","2022-09-01T01:30:00Z",65.340,64.023,66.622,0.582,180,1.963,0.057,1
"2022-09-01T01:30:00Z","2022-09-01T02:00:00Z",62.814,61.790,64.006,0.429,180,1.887,0.049,1
"2022-09-01T02:00:00Z","2022-09-01T02:30:00Z",61.013,60.213,61.786,0.203,180,1.832,0.034,1
"2022-09-01T02:30:00Z","2022-09-01T03:00:00Z",59.326,58.484,60.199,0.256,180,1.781,0.038,1
"2022-09-01T03:00:00Z","2022-09-01T03:30:00Z",57.736,57.066,58.470,0.169,180,1.733,0.031,1
"2022-09-01T03:30:00Z","2022-09-01T04:00:00Z",56.491,55.968,57.056,0.100,180,1.695,0.024,1
"2022-09-01T04:00:00Z","2022-09-01T04:30:00Z",55.501,55.065,55.954,0.067,180,1.665,0.019,1
"2022-09-01T04:30:00Z","2022-09-01T05:00:00Z",54.681,54.304,55.065,0.049,180,1.641,0.016,1
"2022-09-01T05:00:00Z","2022-09-01T05:30:00Z",53.991,53.701,54.311,0.030,180,1.620,0.013,1
"2022-09-01T05:30:00Z","2022-09-01T06:00:00Z",53.490,53.268,53.703,0.016,180,1.605,0.010,1
"2022-09-01T06:00:00Z","2022-09-01T06:30:00Z",52.975,52.667,53.266,0.031,180,1.589,0.013,1
"2022-09-01T06:30:00Z","2022-09-01T07:00:00Z",52.349,52.067,52.662,0.031,180,1.571,0.013,1
"2022-09-01T07:00:00Z","2022-09-01T07:30:00Z",51.831,51.615,52.062,0.016,180,1.555,0.010,1
"2022-09-01T07:30:00Z","2022-09-01T08:00:00Z",51.463,51.345,51.613,0.006,180,1.544,0.006,1
"2022-09-01T08:00:00Z","2022-09-01T08:30:00Z",51.266,51.168,51.357,0.003,180,1.538,0.004,1
"2022-09-01T08:30:00Z","2022-09-01T09:00:00Z",51.074,50.967,51.170,0.003,180,1.532,0.004,1
"2022-09-01T09:00:00Z","2022-09-01T09:30:00Z",50.869,50.783,50.974,0.003,180,1.526,0.004,1
"2022-09-01T09:30:00Z","2022-09-01T10:00:00Z",50.697,50.593,50.785,0.003,180,1.521,0.004,1
"2022-09-01T10:00:00Z","2022-09-01T10:30:00Z",50.495,50.371,50.603,0.004,180,1.515,0.005,1
"2022-09-01T10:30:00Z","2022-09-01T11:00:00Z",50.223,50.068,50.373,0.008,180,1.507,0.007,1
"2022-09-01T11:00:00Z","2022-09-01T11:30:00Z",49.958,49.858,50.071,0.004,180,1.499,0.005,1
"2022-09-01T11:30:00Z","2022-09-01T12:00:00Z",49.734,49.673,49.858,0.003,77,1.492,0.006,1
"2022-09-01T12:00:00Z","2022-09-01T12:30:00Z",49.590,49.486,49.678,0.003,180,1.488,0.004,1
"2022-09-01T12:30:00Z","2022-09-01T13:00:00Z",49.400,49.321,49.494,0.002,180,1.482,0.004,1
"2022-09-01T13:00:00Z","2022-09-01T13:30:00Z",49.327,49.302,49.378,0.000,180,1.480,0.001,1
"2022-09-01T13:30:00Z","2022-09-01T14:00:00Z",49.542,49.366,49.863,0.018,180,1.486,0.010,1
"2022-09-01T14:00:00Z","2022-09-01T14:30:00Z",50.906,49.882,52.131,0.467,180,1.531,0.051,1
"2022-09-01T14:30:00Z","2022-09-01T15:00:00Z",53.631,52.155,55.090,0.756,180,1.614,0.065,1
"2022-09-01T15:00:00Z","2022-09-01T15:30:00Z",56.526,55.102,58.006,0.725,180,1.701,0.063,1
"2022-09-01T15:30:00Z","2022-09-01T16:00:00Z",59.540,58.032,61.279,0.915,180,1.792,0.071,1
"2022-09-01T16:00:00Z","2022-09-01T16:30:00Z",63.458,61.310,65.427,1.402,180,1.912,0.088,1
"2022-09-01T16:30:00Z","2022-09-01T17:00:00Z",67.646,65.441,70.268,1.799,180,2.039,0.100,1
"2022-09-01T17:00:00Z","2022-09-01T17:30:00Z",77.435,70.308,85.499,19.590,180,2.415,0.330,1
"2022-09-01T17:30:00Z","2022-09-01T18:00:00Z",95.190,85.599,100.514,42.074,77,3.216,0.739,1
"2022-09-01T18:00:00Z","2022-09-01T18:30:00Z",94.443,88.164,100.211,13.898,180,2.887,0.278,1
"2022-09-01T18:30:00Z","2022-09-01T19:00:00Z",84.699,82.561,88.110,2.425,180,2.552,0.116,1
"2022-09-01T19:00:00Z","2022-09-01T19:30:00Z",80.988,79.979,82.530,0.581,180,2.432,0.057,1
"2022-09-01T19:30:00Z","2022-09-01T20:00:00Z",79.811,79.298,81.083,0.225,180,2.395,0.035,1
"2022-09-01T20:00:00Z","2022-09-01T20:30:00Z",82.392,81.097,82.994,0.274,180,2.473,0.039,1
"2022-09-01T20:30:00Z","2022-09-01T21:00:00Z",79.592,78.174,81.641,1.057,180,2.393,0.077,1
"2022-09-01T21:00:00Z","2022-09-01T21:30:00Z",77.168,76.597,78.160,0.243,180,2.316,0.037,1
"2022-09-01T21:30:00Z","2022-09-01T22:00:00Z",77.633,76.611,80.033,1.102,138,2.336,0.089,1
"2022-09-01T22:00:00Z","2022-09-01T22:30:00Z",84.049,83.195,84.396,0.130,119,2.522,0.033,1
"2022-09-01T22:30:00Z","2022-09-01T23:00:00Z",80.993,78.799,83.176,1.669,180,2.437,0.096,1
"2022-09-01T23:00:00Z","2022-09-01T23:30:00Z",76.742,74.850,78.780,1.346,180,2.309,0.086,1
"2022-09-01T23:30:00Z","2022-09-02T00:00:00Z",73.759,73.138,74.835,0.225,180,2.214,0.035,1
"2022-09-02T00:00:00Z","2022-09-02T00:30:00Z",72.432,71.610,73.128,0.207,180,2.174,0.034,1
"2022-09-02T00:30:00Z","2022-09-02T01:00:00Z",70.624,69.623,71.593,0.332,180,2.120,0.043,1
"2022-09-02T01:00:00Z","2022-09-02T01:30:00Z",68.478,67.372,69.599,0.426,180,2.057,0.049,1
"2022-09-02T01:30:00Z","2022-09-02T02:00:00Z",66.329,65.331,67.360,0.347,180,1.992,0.044,1
"2022-09-02T02:00:00Z","2022-09-02T02:30:00Z",64.276,63.169,65.319,0.392,180,1.931,0.047,1
"2022-09-02T02:30:00Z","2022-09-02T03:00:00Z",61.996,60.894,63.148,0.428,180,1.862,0.049,1
"2022-09-02T03:00:00Z","2022-09-02T03:30:00Z",59.907,59.004,60.889,0.300,180,1.799,0.041,1
